gw,player_id,player_name,team,position,position_id,cost,prob_appearance,xp,squad,lineup,captain,vice_captain,transfer_in,transfer_out
23,275,Leno,Fulham,GKP,1,4.8,0.95,3.82,1.0,1.0,0.0,0.0,0.0,0.0
23,430,Trippier,Newcastle,DEF,2,6.7,0.85,5.39,1.0,1.0,0.0,1.0,1.0,0.0
23,506,Pedro Porro,Spurs,DEF,2,5.9,0.94,3.82,1.0,1.0,0.0,0.0,0.0,0.0
23,369,Walker,Man City,DEF,2,5.5,0.79,3.71,1.0,1.0,0.0,0.0,0.0,0.0
23,19,Saka,Arsenal,MID,3,9.1,0.94,5.79,1.0,1.0,1.0,0.0,0.0,0.0
23,14,Ødegaard,Arsenal,MID,3,8.5,0.92,5.33,1.0,1.0,0.0,0.0,0.0,0.0
23,526,Bowen,West Ham,MID,3,8.1,0.94,5.07,1.0,1.0,0.0,0.0,0.0,0.0
23,664,Ward-Prowse,West Ham,MID,3,6.0,0.94,5.07,1.0,1.0,0.0,0.0,0.0,0.0
23,60,Watkins,Aston Villa,FWD,4,8.8,0.94,5.13,1.0,1.0,0.0,0.0,0.0,0.0
23,117,Toney,Brentford,FWD,4,8.0,0.93,5.03,1.0,1.0,0.0,0.0,0.0,0.0
23,343,J.Alvarez,Man City,FWD,4,7.0,0.94,4.78,1.0,1.0,0.0,0.0,0.0,0.0
23,230,Johnstone,Crystal Palace,GKP,1,4.5,0.7,3.5,1.0,0.0,0.0,0.0,0.0,0.0
23,129,Dunk,Brighton,DEF,2,5.0,0.94,3.51,1.0,0.0,0.0,0.0,0.0,0.0
23,112,Pinnock,Brentford,DEF,2,4.6,0.94,2.66,1.0,0.0,0.0,0.0,0.0,0.0
23,126,Caicedo,Chelsea,MID,3,4.5,0.89,2.85,1.0,0.0,0.0,0.0,0.0,0.0
23,342,Aké,Man City,DEF,2,5.0,0.88,3.42,0.0,0.0,0.0,0.0,0.0,1.0
