ID,Name,Team,Pos,Price,30_pts_no_prob,30_prob,30_with_prob,31_pts_no_prob,31_prob,31_with_prob,32_pts_no_prob,32_prob,32_with_prob,33_pts_no_prob,33_prob,33_with_prob,34_pts_no_prob,34_prob,34_with_prob,35_pts_no_prob,35_prob,35_with_prob,36_pts_no_prob,36_prob,36_with_prob,37_pts_no_prob,37_prob,37_with_prob,38_pts_no_prob,38_prob,38_with_prob,tba_pts_no_prob,tba_prob,tba_with_prob
1,Balogun,ARS,FWD,4.4,1.46626,0,0.1351,1.37913,0,0.12707,1.55323,0,0.14311,1.44639,0,0.13327,1.53291,0,0.14124,1.47669,0,0.13606,1.43642,0,0.13235,1.57052,0,0.14471,1.38361,0,0.12748,1.60086,0,0.1475
2,Cédric,ARS,DEF,3.8,0.64646,0.35315,0.22829,1.72256,0.35315,0.60831,1.03044,0.35315,0.3639,1.33228,0.35315,0.47049,1.39697,0.35315,0.49333,0.9883,0.35315,0.34901,1.43539,0.35315,0.5069,1.13316,0.35315,0.40017,1.81113,0.35315,0.63959,1.33366,0.35315,0.47098
3,M.Elneny,ARS,MID,4.4,0.88177,0.27899,0.246,1.02762,0.27899,0.28669,0.98317,0.27899,0.27429,0.99524,0.27899,0.27766,1.01304,0.27899,0.28262,0.99276,0.27899,0.27696,1.07789,0.27899,0.30071,0.9991,0.27899,0.27873,1.07874,0.27899,0.30095,1.03999,0.27899,0.29014
4,"Fábio Vieira",ARS,MID,5.4,1.35109,0.34449,0.46544,1.72335,0.34449,0.59368,1.53952,0.34449,0.53035,1.59511,0.34449,0.5495,1.64714,0.34449,0.56742,1.58785,0.34449,0.547,1.83662,0.34449,0.63269,1.6064,0.34449,0.55339,1.83912,0.34449,0.63356,1.72587,0.34449,0.59454
5,Gabriel,ARS,DEF,5.3,2.11938,0.93909,1.99029,5.36095,0.93909,5.03442,2.95813,0.93909,2.77795,3.8643,0.93909,3.62893,4.10641,0.93909,3.85629,2.77589,0.93909,2.60681,4.23152,0.93909,3.97378,3.24752,0.93909,3.04972,5.45483,0.93909,5.12258,3.9003,0.93909,3.66274
6,Havertz,ARS,MID,7.2,3.26881,0.94085,3.07545,4.08969,0.94085,3.84778,3.52018,0.94085,3.31195,3.63932,0.94085,3.42405,3.78327,0.94085,3.55948,3.62991,0.94085,3.41519,4.27343,0.94085,4.02065,3.67788,0.94085,3.46032,4.27991,0.94085,4.02674,3.98694,0.94085,3.7511
7,Holding,CRY,DEF,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,G.Jesus,ARS,FWD,7.8,2.67197,0.88623,2.36797,3.88729,0.88623,3.44502,3.03126,0.88623,2.68638,3.24092,0.88623,2.87219,3.31769,0.88623,2.94022,3.28875,0.88623,2.91458,3.14977,0.88623,2.7914,2.98605,0.88623,2.64631,3.50942,0.88623,3.11014,3.35625,0.88623,2.97439
9,Jorginho,ARS,MID,5.3,1.73256,0.81588,1.41356,2.06456,0.81588,1.68443,1.9311,0.81588,1.57555,1.98158,0.81588,1.61673,2.03541,0.81588,1.66065,1.98825,0.81588,1.62217,2.18614,0.81588,1.78363,2.003,0.81588,1.63421,2.18813,0.81588,1.78525,2.09804,0.81588,1.71175
10,Kiwior,ARS,DEF,4.4,1.44131,0.89332,1.28754,3.65765,0.89332,3.26744,2.06251,0.89332,1.84247,2.67594,0.89332,2.39046,2.85921,0.89332,2.55417,1.96131,0.89332,1.75206,2.94363,0.89332,2.62959,2.27959,0.89332,2.03639,3.76918,0.89332,3.36706,2.72011,0.89332,2.42992
11,Marquinhos,ARS,MID,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
