id,web_name,team,element_type,gw_current,gw_next,selected_by_percent,now_cost,minutes,transfers_in,value_season,total_points,points_per_game,form,ep_this,ep_next,position,team_name,value
1,Balogun,1,4,21,22,0.2,44,0,10024,0.0,0,0.0,0.0,0.0,0.0,FWD,Arsenal,0.0
2,Cédric,1,2,21,22,0.4,39,0,35263,0.0,0,0.0,0.0,0.5,0.5,DEF,Arsenal,0.0
3,M.Elneny,1,3,21,22,0.1,44,1,12812,0.9,4,4.0,0.0,0.0,0.0,MID,Arsenal,0.9
4,Fábio Vieira,1,3,21,22,0.1,54,236,11478,3.9,21,2.6,0.0,0.2,0.2,MID,Arsenal,3.9
5,Gabriel,1,2,21,22,18.2,50,1544,1567709,15.0,75,3.9,7.2,7.7,5.8,DEF,Arsenal,15.0
6,Havertz,1,3,21,22,1.6,71,1236,94208,7.7,55,2.8,1.5,2.0,2.0,MID,Arsenal,7.7
8,G.Jesus,1,4,21,22,4.3,80,1014,981962,6.6,53,3.3,2.2,2.0,2.7,FWD,Arsenal,6.6
9,Jorginho,1,3,21,22,0.2,53,400,9143,3.6,19,1.6,1.0,1.5,1.5,MID,Arsenal,3.6
10,Kiwior,1,2,21,22,0.1,43,301,5364,3.3,14,1.6,0.5,1.0,1.0,DEF,Arsenal,3.3
11,Marquinhos,1,3,21,22,0.0,45,0,819,0.0,0,0.0,0.0,0.0,0.0,MID,Arsenal,0.0
12,Martinelli,1,3,21,22,5.6,77,1306,979376,9.2,71,3.7,5.8,6.3,6.3,MID,Arsenal,9.2
13,Nketiah,1,4,21,22,4.2,53,967,1550068,12.1,64,3.2,1.8,2.3,2.3,FWD,Arsenal,12.1
14,Ødegaard,1,3,21,22,17.3,85,1599,1849519,10.1,86,4.8,3.8,4.3,4.3,MID,Arsenal,10.1
15,Thomas,1,3,21,22,0.1,48,250,8586,1.5,7,1.8,0.0,0.0,0.0,MID,Arsenal,1.5
16,Pepe,1,3,21,22,0.0,49,0,667,0.0,0,0.0,0.0,0.0,0.0,MID,Arsenal,0.0
17,Ramsdale,1,1,21,22,6.1,46,450,264345,3.7,17,3.4,0.0,0.5,0.5,GKP,Arsenal,3.7
18,Rúnarsson,1,1,21,22,0.1,40,0,990,0.0,0,0.0,0.0,0.0,0.0,GKP,Arsenal,0.0
19,Saka,1,3,21,22,62.4,91,1753,4547735,12.1,110,5.5,3.2,3.7,3.7,MID,Arsenal,12.1
20,Saliba,1,2,21,22,37.4,56,1890,3536194,14.5,81,3.9,2.2,2.7,2.7,DEF,Arsenal,14.5
22,Smith Rowe,1,3,21,22,0.1,53,137,5214,2.3,12,1.7,0.5,1.0,1.0,MID,Arsenal,2.3
24,Tierney,1,2,21,22,0.1,44,0,2665,0.0,0,0.0,0.0,0.0,0.0,DEF,Arsenal,0.0
25,Tomiyasu,1,2,21,22,0.3,45,628,79464,8.7,39,3.0,0.2,0.0,0.0,DEF,Arsenal,8.7
26,Trossard,1,3,21,22,1.7,65,725,298090,8.5,55,3.2,3.0,3.5,3.5,MID,Arsenal,8.5
29,White,1,2,21,22,11.0,56,1565,1422189,13.4,75,3.8,2.2,2.7,2.7,DEF,Arsenal,13.4
30,Xhaka,1,3,21,22,0.0,60,0,0,0.0,0,0.0,0.0,0.0,0.0,MID,Arsenal,0.0
31,Zinchenko,1,2,21,22,10.4,52,1292,1459873,14.8,77,4.1,2.2,2.0,2.7,DEF,Arsenal,14.8
113,Raya,1,1,21,22,6.3,49,1440,786871,12.9,63,3.9,4.2,4.7,4.7,GKP,Arsenal,12.9
