id,code,event,finished,finished_provisional,team_a,team_a_score,team_h,team_h_score,kickoff_time,minutes,provisional_start_time,started,team_a_name,team_h_name
162,2367698,,False,False,12,,3,,,0,True,,Luton,Bournemouth
1,2367538,1.0,True,True,13,3.0,6,0.0,2023-08-11T19:00:00Z,90,False,True,Man City,Burnley
2,2367540,1.0,True,True,16,1.0,1,2.0,2023-08-12T12:00:00Z,90,False,True,Nott'm Forest,Arsenal
3,2367539,1.0,True,True,19,1.0,3,1.0,2023-08-12T14:00:00Z,90,False,True,West Ham,Bournemouth
4,2367541,1.0,True,True,12,1.0,5,4.0,2023-08-12T14:00:00Z,90,False,True,Luton,Brighton
5,2367542,1.0,True,True,10,1.0,9,0.0,2023-08-12T14:00:00Z,90,False,True,Fulham,Everton
7,2367544,1.0,True,True,8,1.0,17,0.0,2023-08-12T14:00:00Z,90,False,True,Crystal Palace,Sheffield Utd
6,2367543,1.0,True,True,2,1.0,15,5.0,2023-08-12T16:30:00Z,90,False,True,Aston Villa,Newcastle
8,2367545,1.0,True,True,18,2.0,4,2.0,2023-08-13T13:00:00Z,90,False,True,Spurs,Brentford
9,2367546,1.0,True,True,11,1.0,7,1.0,2023-08-13T15:30:00Z,90,False,True,Liverpool,Chelsea
10,2367547,1.0,True,True,20,0.0,14,1.0,2023-08-14T19:00:00Z,90,False,True,Wolves,Man Utd
17,2367554,2.0,True,True,17,1.0,16,2.0,2023-08-18T18:45:00Z,90,False,True,Sheffield Utd,Nott'm Forest
13,2367550,2.0,True,True,4,3.0,10,0.0,2023-08-19T14:00:00Z,90,False,True,Brentford,Fulham
14,2367551,2.0,True,True,3,1.0,11,3.0,2023-08-19T14:00:00Z,90,False,True,Bournemouth,Liverpool
20,2367557,2.0,True,True,5,4.0,20,1.0,2023-08-19T14:00:00Z,90,False,True,Brighton,Wolves
18,2367555,2.0,True,True,14,0.0,18,2.0,2023-08-19T16:30:00Z,90,False,True,Man Utd,Spurs
16,2367553,2.0,True,True,15,0.0,13,1.0,2023-08-19T19:00:00Z,90,False,True,Newcastle,Man City
11,2367548,2.0,True,True,9,0.0,2,4.0,2023-08-20T13:00:00Z,90,False,True,Everton,Aston Villa
