player_id,name,team_id,team,element_type,position,cost,form,points_per_game,total_points,official_chance,official_availablity,selected_by_percent,transfers_in_event,transfers_out_event,gw_23_xp,gw_23_prob_of_appearing,gw_24_xp,gw_24_prob_of_appearing,gw_25_xp,gw_25_prob_of_appearing,gw_26_xp,gw_26_prob_of_appearing,gw_27_xp,gw_27_prob_of_appearing,gw_28_xp,gw_28_prob_of_appearing,gw_29_xp,gw_29_prob_of_appearing,gw_30_xp,gw_30_prob_of_appearing,gw_31_xp,gw_31_prob_of_appearing,gw_32_xp,gw_32_prob_of_appearing,gw_33_xp,gw_33_prob_of_appearing,gw_34_xp,gw_34_prob_of_appearing,gw_35_xp,gw_35_prob_of_appearing,gw_36_xp,gw_36_prob_of_appearing,gw_37_xp,gw_37_prob_of_appearing,gw_38_xp,gw_38_prob_of_appearing
1,Balogun,1,ARS,4,FWD,4.4,0.0,0.0,0,0.0,Unavailable,0.2,0,30,1.58813,0.0,1.49612,0.0,1.57128,0.0,1.55681,0.0,1.5922,0.0,1.46398,0.0,1.46626,0.0,1.37913,0.0,1.55323,0.0,1.44639,0.0,1.53291,0.0,1.47669,0.0,1.43642,0.0,1.57052,0.0,1.38361,0.0,1.60086,0.0
2,Cédric,1,ARS,2,DEF,3.9,0.0,0.0,0,,Available,0.4,38,206,1.33646,0.00101,1.39215,0.00101,1.78422,0.00101,1.60498,0.00101,1.51096,0.00101,1.68311,0.00101,1.39329,0.00101,1.09841,0.00101,1.90249,0.00101,1.34429,0.00101,1.54574,0.00101,1.68167,0.00101,1.29108,0.00101,1.71976,0.00101,1.37571,0.00101,1.79629,0.00101
3,M.Elneny,1,ARS,3,MID,4.4,0.0,4.0,4,75.0,Doubtful,0.1,14,34,1.03856,0.01898,1.03542,0.03151,1.04201,0.03521,1.08935,0.03707,1.06659,0.03707,1.06622,0.03707,1.05293,0.03707,0.97513,0.03707,1.04819,0.03707,1.03044,0.03707,1.03737,0.03707,1.03719,0.03707,1.03057,0.03707,1.10347,0.03707,1.03923,0.03707,1.08625,0.03707
4,Fábio Vieira,1,ARS,3,MID,5.4,0.0,2.6,21,50.0,Doubtful,0.1,2,19,1.77124,0.23385,1.76279,0.48279,1.78055,0.64121,1.90811,0.71617,1.84678,0.74983,1.84579,0.74983,1.80997,0.74983,1.60034,0.74983,1.7972,0.74983,1.74937,0.74983,1.76805,0.74983,1.76756,0.74983,1.74974,0.74983,1.94614,0.74983,1.77307,0.74983,1.89976,0.74983
5,Gabriel,1,ARS,2,DEF,5.0,9.5,3.9,77,100.0,Available,18.3,16753,7009,3.98708,0.93221,4.02074,0.93221,4.88448,0.93221,4.30693,0.93221,4.08405,0.93221,4.51778,0.93221,3.78757,0.93221,3.04463,0.93221,5.0705,0.93221,3.66411,0.93221,4.17167,0.93221,4.51416,0.93221,3.53006,0.93221,4.61011,0.93221,3.74329,0.93221,4.80293,0.93221
6,Havertz,1,ARS,3,MID,7.1,2.0,2.7,56,100.0,Available,1.6,132,1496,3.22803,0.93947,3.31092,0.93947,3.44943,0.93947,3.78918,0.93947,3.70783,0.93947,3.70572,0.93947,3.62972,0.93947,3.18492,0.93947,3.60263,0.93947,3.50115,0.93947,3.54077,0.93947,3.53973,0.93947,3.50192,0.93947,3.91865,0.93947,3.55142,0.93947,3.82022,0.93947
8,G.Jesus,1,ARS,4,FWD,8.0,7.5,3.7,63,100.0,Available,4.4,10502,7105,4.13787,0.94072,4.29913,0.94072,4.10134,0.94072,4.58032,0.94072,4.30853,0.94072,4.06626,0.94072,4.013,0.94072,3.77589,0.94072,5.0299,0.94072,4.12702,0.94072,4.15584,0.94072,4.23651,0.94072,4.34261,0.94072,4.07775,0.94072,3.96987,0.94072,4.32303,0.94072
9,Jorginho,1,ARS,3,MID,5.3,2.5,1.5,20,100.0,Available,0.2,53,59,2.09181,0.5554,2.13506,0.5554,2.20565,0.5554,2.39078,0.5554,2.36343,0.5554,2.3624,0.5554,2.32503,0.5554,2.10636,0.5554,2.31171,0.5554,2.26182,0.5554,2.2813,0.5554,2.28079,0.5554,2.2622,0.5554,2.46707,0.5554,2.28654,0.5554,2.41869,0.5554
10,Kiwior,1,ARS,2,DEF,4.3,1.0,1.5,15,,Available,0.1,21,56,1.69429,0.68706,1.88022,0.68706,2.50792,0.68706,2.35115,0.68706,2.26993,0.68706,2.496,0.68706,2.1154,0.68706,1.72815,0.68706,2.7841,0.68706,2.05105,0.68706,2.3156,0.68706,2.49412,0.68706,1.98117,0.68706,2.54413,0.68706,2.09232,0.68706,2.64464,0.68706
11,Marquinhos,1,ARS,3,MID,4.5,0.0,0.0,0,0.0,Unavailable,0.0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Martinelli,1,ARS,3,MID,7.7,8.5,3.7,74,100.0,Available,6.1,4912,10173,4.28294,0.9411,4.33221,0.9411,4.42101,0.9411,4.79182,0.9411,4.65055,0.9411,4.64787,0.9411,4.55083,0.9411,3.98295,0.9411,4.51624,0.9411,4.38668,0.9411,4.43727,0.9411,4.43594,0.9411,4.38767,0.9411,4.91972,0.9411,4.45086,0.9411,4.79406,0.9411
13,Nketiah,1,ARS,4,FWD,5.2,2.5,3.1,65,100.0,Available,4.0,845,5570,2.55956,0.9156,2.7118,0.9156,2.62828,0.9156,2.97009,0.9156,2.82874,0.9156,2.68213,0.9156,2.64989,0.9156,2.5064,0.9156,3.2653,0.9156,2.71889,0.9156,2.73633,0.9156,2.78516,0.9156,2.84936,0.9156,2.68907,0.9156,2.62379,0.9156,2.83752,0.9156
14,Ødegaard,1,ARS,3,MID,8.5,2.5,4.6,88,100.0,Available,16.6,2794,35204,5.32708,0.92371,5.34403,0.92371,5.45931,0.92371,5.92314,0.92371,5.69215,0.92371,5.6887,0.92371,5.56383,0.92371,4.83312,0.92371,5.51933,0.92371,5.35262,0.92371,5.41771,0.92371,5.416,0.92371,5.35389,0.92371,6.03849,0.92371,5.4352,0.92371,5.8768,0.92371
15,Thomas,1,ARS,3,MID,4.8,0.0,1.8,7,50.0,Doubtful,0.1,10,22,2.19646,0.18359,2.18668,0.37903,2.20723,0.5034,2.35484,0.56262,2.28387,0.59223,2.28272,0.59223,2.24127,0.59223,1.99869,0.59223,2.2265,0.59223,2.17115,0.59223,2.19276,0.59223,2.19219,0.59223,2.17157,0.59223,2.39885,0.59223,2.19857,0.59223,2.34517,0.59223
16,Pepe,1,ARS,3,MID,4.9,0.0,0.0,0,0.0,Unavailable,0.0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Ramsdale,1,ARS,1,GKP,4.5,0.0,3.4,17,,Available,6.0,116,1472,3.34887,0.06038,3.26737,0.06038,3.57361,0.06038,3.34044,0.06038,3.51045,0.06038,3.37608,0.06038,3.59107,0.06038,3.04539,0.06038,3.48886,0.06038,3.60023,0.06038,3.49323,0.06038,3.63131,0.06038,3.49196,0.06038,3.52706,0.06038,3.64643,0.06038,3.6808,0.06038
18,Rúnarsson,1,ARS,1,GKP,4.0,0.0,0.0,0,0.0,Unavailable,0.1,0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
