id,name,team_id,team,element_type,position,cost,form,points_per_game,total_points,official_chance,official_availablity,selected_by_percent,transfers_in_event,transfers_out_event,gw_24_xp,gw_24_prob_of_appearing,gw_25_xp,gw_25_prob_of_appearing,gw_26_xp,gw_26_prob_of_appearing,gw_27_xp,gw_27_prob_of_appearing,gw_28_xp,gw_28_prob_of_appearing,gw_29_xp,gw_29_prob_of_appearing,gw_30_xp,gw_30_prob_of_appearing,gw_31_xp,gw_31_prob_of_appearing,gw_32_xp,gw_32_prob_of_appearing,gw_33_xp,gw_33_prob_of_appearing,gw_34_xp,gw_34_prob_of_appearing,gw_35_xp,gw_35_prob_of_appearing,gw_36_xp,gw_36_prob_of_appearing,gw_37_xp,gw_37_prob_of_appearing,gw_38_xp,gw_38_prob_of_appearing
1,Balogun,1,ARS,4,FWD,4.4,0.0,0.0,0,0.0,Unavailable,0.2,0,8,1.49612,0.0,1.57128,0.0,1.55681,0.0,1.5922,0.0,1.46398,0.0,1.46626,0.0,1.37913,0.0,1.55323,0.0,1.44639,0.0,1.53291,0.0,1.47669,0.0,1.43642,0.0,1.57052,0.0,1.38361,0.0,1.60086,0.0
2,Cédric,1,ARS,2,DEF,3.9,0.0,0.0,0,,Available,0.4,16,48,1.3891,0.00101,1.78089,0.00101,1.60498,0.00101,1.50822,0.00101,1.68311,0.00101,1.39329,0.00101,1.09841,0.00101,1.86443,0.00101,1.34048,0.00101,1.5428,0.00101,1.65205,0.00101,1.29108,0.00101,1.7006,0.00101,1.37571,0.00101,1.79629,0.00101
3,M.Elneny,1,ARS,3,MID,4.4,0.0,4.0,4,75.0,Doubtful,0.1,0,13,1.03158,0.02372,1.04241,0.03151,1.08935,0.03521,1.06926,0.03707,1.06622,0.03707,1.05293,0.03707,0.97513,0.03707,1.0537,0.03707,1.02643,0.03707,1.03314,0.03707,1.04336,0.03707,1.03057,0.03707,1.10566,0.03707,1.03923,0.03707,1.08625,0.03707
4,Fábio Vieira,1,ARS,3,MID,5.4,0.0,2.6,21,50.0,Doubtful,0.1,2,7,1.75245,0.23385,1.78164,0.48279,1.90811,0.64121,1.85399,0.71617,1.84579,0.74983,1.80997,0.74983,1.60034,0.74983,1.81205,0.74983,1.73857,0.74983,1.75666,0.74983,1.78419,0.74983,1.74974,0.74983,1.95207,0.74983,1.77307,0.74983,1.89976,0.74983
5,Gabriel,1,ARS,2,DEF,5.0,6.3,3.9,77,100.0,Available,18.5,6543,1459,4.01307,0.93221,4.87608,0.93221,4.30693,0.93221,4.07714,0.93221,4.51778,0.93221,3.78757,0.93221,3.04463,0.93221,4.97462,0.93221,3.65452,0.93221,4.16426,0.93221,4.43952,0.93221,3.53006,0.93221,4.56184,0.93221,3.74329,0.93221,4.80293,0.93221
6,Havertz,1,ARS,3,MID,7.1,1.3,2.7,56,100.0,Available,1.6,54,345,3.28897,0.93947,3.45174,0.93947,3.78918,0.93947,3.72311,0.93947,3.70572,0.93947,3.62972,0.93947,3.18492,0.93947,3.63412,0.93947,3.47823,0.93947,3.51661,0.93947,3.57502,0.93947,3.50192,0.93947,3.93122,0.93947,3.55142,0.93947,3.82022,0.93947
8,G.Jesus,1,ARS,4,FWD,8.0,5.0,3.7,63,100.0,Available,4.2,1747,1789,4.36835,0.94072,4.06781,0.94072,4.58032,0.94072,4.4709,0.94072,4.06626,0.94072,4.013,0.94072,3.77589,0.94072,4.91985,0.94072,4.08532,0.94072,4.10027,0.94072,4.29233,0.94072,4.34261,0.94072,4.01887,0.94072,3.96987,0.94072,4.32303,0.94072
9,Jorginho,1,ARS,3,MID,5.3,1.7,1.5,20,100.0,Available,0.2,9,13,2.12427,0.5554,2.20679,0.5554,2.39078,0.5554,2.37095,0.5554,2.3624,0.5554,2.32503,0.5554,2.10636,0.5554,2.3272,0.5554,2.25055,0.5554,2.26942,0.5554,2.29814,0.5554,2.2622,0.5554,2.47325,0.5554,2.28654,0.5554,2.41869,0.5554
10,Kiwior,1,ARS,2,DEF,4.3,0.7,1.5,15,,Available,0.1,6,6,1.87622,0.68706,2.50354,0.68706,2.35115,0.68706,2.26633,0.68706,2.496,0.68706,2.1154,0.68706,1.72815,0.68706,2.73413,0.68706,2.04605,0.68706,2.31174,0.68706,2.45522,0.68706,1.98117,0.68706,2.51897,0.68706,2.09232,0.68706,2.64464,0.68706
11,Marquinhos,1,ARS,3,MID,4.5,0.0,0.0,0,0.0,Unavailable,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Martinelli,1,ARS,3,MID,7.7,5.7,3.7,74,100.0,Available,5.8,937,2185,4.30418,0.9411,4.42396,0.9411,4.79182,0.9411,4.67007,0.9411,4.64787,0.9411,4.55083,0.9411,3.98295,0.9411,4.55645,0.9411,4.35742,0.9411,4.40642,0.9411,4.481,0.9411,4.38767,0.9411,4.93577,0.9411,4.45086,0.9411,4.79406,0.9411
13,Nketiah,1,ARS,4,FWD,5.2,1.7,3.1,65,100.0,Available,3.9,313,1442,2.7537,0.9156,2.60799,0.9156,2.97009,0.9156,2.927,0.9156,2.68213,0.9156,2.64989,0.9156,2.5064,0.9156,3.1987,0.9156,2.69365,0.9156,2.7027,0.9156,2.81894,0.9156,2.84936,0.9156,2.65344,0.9156,2.62379,0.9156,2.83752,0.9156
14,Ødegaard,1,ARS,3,MID,8.5,1.7,4.6,88,100.0,Available,15.6,756,6723,5.30796,0.92371,5.46311,0.92371,5.92314,0.92371,5.71726,0.92371,5.6887,0.92371,5.56383,0.92371,4.83312,0.92371,5.57107,0.92371,5.31496,0.92371,5.37802,0.92371,5.47398,0.92371,5.35389,0.92371,6.05914,0.92371,5.4352,0.92371,5.8768,0.92371
15,Thomas,1,ARS,3,MID,4.8,0.0,1.8,7,0.0,Injured,0.1,0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Pepe,1,ARS,3,MID,4.9,0.0,0.0,0,0.0,Unavailable,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Ramsdale,1,ARS,1,GKP,4.5,0.0,3.4,17,,Available,6.0,49,490,3.25755,0.06038,3.54514,0.06038,3.34044,0.06038,3.50971,0.06038,3.37608,0.06038,3.59107,0.06038,3.04539,0.06038,3.46499,0.06038,3.57347,0.06038,3.47193,0.06038,3.62446,0.06038,3.49196,0.06038,3.52555,0.06038,3.64643,0.06038,3.6808,0.06038
18,Rúnarsson,1,ARS,1,GKP,4.0,0.0,0.0,0,0.0,Unavailable,0.1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
