name,team_id,team,element_type,position,cost,form,points_per_game,total_points,official_chance,official_availablity,selected_by_percent,transfers_in_event,transfers_out_event,gw_24_xp,gw_24_prob_of_appearing,gw_25_xp,gw_25_prob_of_appearing,gw_26_xp,gw_26_prob_of_appearing,gw_27_xp,gw_27_prob_of_appearing,gw_28_xp,gw_28_prob_of_appearing,gw_29_xp,gw_29_prob_of_appearing,gw_30_xp,gw_30_prob_of_appearing,gw_31_xp,gw_31_prob_of_appearing,gw_32_xp,gw_32_prob_of_appearing,gw_33_xp,gw_33_prob_of_appearing,gw_34_xp,gw_34_prob_of_appearing,gw_35_xp,gw_35_prob_of_appearing,gw_36_xp,gw_36_prob_of_appearing,gw_37_xp,gw_37_prob_of_appearing,gw_38_xp,gw_38_prob_of_appearing
Balogun,1,ARS,4,FWD,4.4,0.0,0.0,0,0.0,Unavailable,0.2,0,78,1.49612,0.0,1.57128,0.0,1.55681,0.0,1.5922,0.0,1.46398,0.0,1.46626,0.0,1.37913,0.0,1.55323,0.0,1.44639,0.0,1.53291,0.0,1.47669,0.0,1.43642,0.0,1.57052,0.0,1.38361,0.0,1.60086,0.0
Cédric,1,ARS,2,DEF,3.9,0.0,0.0,0,,Available,0.4,109,293,1.3891,0.00079,1.78089,0.00079,1.60498,0.00079,1.50822,0.00079,1.68311,0.00079,1.39329,0.00079,1.09841,0.00079,1.86443,0.00079,1.34048,0.00079,1.5428,0.00079,1.65205,0.00079,1.29108,0.00079,1.7006,0.00079,1.42303,0.00079,1.79629,0.00079
M.Elneny,1,ARS,3,MID,4.4,0.0,4.0,4,100.0,Available,0.1,28,56,1.02189,0.03708,1.03266,0.03708,1.07932,0.03708,1.05935,0.03708,1.05633,0.03708,1.04311,0.03708,0.96577,0.03708,1.04388,0.03708,1.01677,0.03708,1.02345,0.03708,1.0336,0.03708,1.02089,0.03708,1.09554,0.03708,1.03192,0.03708,1.07624,0.03708
Fábio Vieira,1,ARS,3,MID,5.4,0.0,2.6,21,50.0,Doubtful,0.1,6,34,1.73555,0.23389,1.7645,0.48287,1.88989,0.64132,1.83623,0.71627,1.8281,0.74984,1.79259,0.74984,1.58473,0.74984,1.79464,0.74984,1.72179,0.74984,1.73973,0.74984,1.76703,0.74984,1.73286,0.74984,1.93348,0.74984,1.7625,0.74984,1.88161,0.74984
Gabriel,1,ARS,2,DEF,5.0,6.0,3.6,76,100.0,Available,18.6,35133,13467,3.88257,0.93414,4.75449,0.93414,4.20958,0.93414,4.00188,0.93414,4.45729,0.93414,3.7349,0.93414,2.99992,0.93414,4.90924,0.93414,3.60328,0.93414,4.10756,0.93414,4.37987,0.93414,3.48015,0.93414,4.50087,0.93414,3.80903,0.93414,4.73939,0.93414
Havertz,1,ARS,3,MID,7.1,2.7,2.7,60,100.0,Available,1.6,567,1581,3.69195,0.93985,3.80386,0.93985,4.10928,0.93985,3.9762,0.93985,3.90071,0.93985,3.81776,0.93985,3.33237,0.93985,3.82257,0.93985,3.65244,0.93985,3.69433,0.93985,3.75807,0.93985,3.6783,0.93985,4.14678,0.93985,3.74751,0.93985,4.02566,0.93985
G.Jesus,1,ARS,4,FWD,8.0,5.0,3.7,63,75.0,Doubtful,3.9,3621,36413,4.32846,0.49832,4.0305,0.66183,4.53883,0.74192,4.43031,0.78056,4.02888,0.78056,3.97604,0.78056,3.74081,0.78056,4.8757,0.78056,4.04778,0.78056,4.06262,0.78056,4.25316,0.78056,4.30304,0.78056,3.98187,0.78056,3.87504,0.78056,4.28361,0.78056
Jorginho,1,ARS,3,MID,5.3,2.3,1.6,22,100.0,Available,0.2,159,106,2.16244,0.65642,2.24911,0.65642,2.43969,0.65642,2.42191,0.65642,2.41657,0.65642,2.3783,0.65642,2.15437,0.65642,2.38052,0.65642,2.30203,0.65642,2.32135,0.65642,2.35076,0.65642,2.31396,0.65642,2.53009,0.65642,2.34589,0.65642,2.47421,0.65642
Kiwior,1,ARS,2,DEF,4.3,1.7,1.6,18,,Available,0.1,298,68,1.8265,0.75362,2.46729,0.75362,2.30967,0.75362,2.22223,0.75362,2.45824,0.75362,2.06808,0.75362,1.67111,0.75362,2.70234,0.75362,1.99699,0.75362,2.26935,0.75362,2.41643,0.75362,1.93049,0.75362,2.48178,0.75362,2.10812,0.75362,2.6106,0.75362
Marquinhos,1,ARS,3,MID,4.5,0.0,0.0,0,0.0,Unavailable,0.0,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martinelli,1,ARS,3,MID,7.7,9.0,4.0,84,100.0,Available,5.9,19572,8294,4.8733,0.94113,4.91084,0.94113,5.21622,0.94113,4.99529,0.94113,4.88323,0.94113,4.77891,0.94113,4.1684,0.94113,4.78495,0.94113,4.57098,0.94113,4.62366,0.94113,4.70384,0.94113,4.6035,0.94113,5.19274,0.94113,4.69055,0.94113,5.04039,0.94113
Nketiah,1,ARS,4,FWD,5.2,1.7,3.1,65,100.0,Available,3.8,1053,10999,2.7289,0.75552,2.58448,0.75552,2.94449,0.75552,2.90185,0.75552,2.65859,0.75552,2.62656,0.75552,2.48401,0.75552,3.17176,0.75552,2.67004,0.75552,2.67903,0.75552,2.79449,0.75552,2.82472,0.75552,2.63009,0.75552,2.56536,0.75552,2.81295,0.75552
Ødegaard,1,ARS,3,MID,8.5,2.3,4.5,90,100.0,Available,15.3,5892,44388,5.40874,0.92749,5.55342,0.92749,6.0077,0.92749,5.78732,0.92749,5.74648,0.92749,5.61988,0.92749,4.879,0.92749,5.62721,0.92749,5.36754,0.92749,5.43148,0.92749,5.52878,0.92749,5.40701,0.92749,6.12207,0.92749,5.51265,0.92749,5.93719,0.92749
