ID,Name,Team,Pos,Price,22_pts_no_prob,22_prob,22_with_prob,23_pts_no_prob,23_prob,23_with_prob,24_pts_no_prob,24_prob,24_with_prob,25_pts_no_prob,25_prob,25_with_prob,26_pts_no_prob,26_prob,26_with_prob,27_pts_no_prob,27_prob,27_with_prob,28_pts_no_prob,28_prob,28_with_prob,29_pts_no_prob,29_prob,29_with_prob,30_pts_no_prob,30_prob,30_with_prob,31_pts_no_prob,31_prob,31_with_prob,32_pts_no_prob,32_prob,32_with_prob,33_pts_no_prob,33_prob,33_with_prob,34_pts_no_prob,34_prob,34_with_prob,35_pts_no_prob,35_prob,35_with_prob,36_pts_no_prob,36_prob,36_with_prob,37_pts_no_prob,37_prob,37_with_prob,38_pts_no_prob,38_prob,38_with_prob,tba_pts_no_prob,tba_prob,tba_with_prob
1,Balogun,ARS,FWD,4.4,1.56047,0,0.14378,1.58813,0,0.14633,1.49612,0,0.13785,1.57128,0,0.14478,1.55681,0,0.14344,1.5922,0,0.1467,1.46398,0,0.13489,1.46626,0,0.1351,1.37913,0,0.12707,1.55323,0,0.14311,1.44639,0,0.13327,1.53291,0,0.14124,1.47669,0,0.13606,1.43642,0,0.13235,1.57052,0,0.14471,1.38361,0,0.12748,1.60086,0,0.1475,0,0,0
2,Cédric,ARS,DEF,3.9,1.73204,0.0013,0.00225,1.33646,0.0013,0.00174,1.39215,0.0013,0.00181,1.78422,0.0013,0.00232,1.63859,0.0013,0.00213,1.51096,0.0013,0.00197,1.6731,0.0013,0.00218,1.35145,0.0013,0.00176,1.06256,0.0013,0.00138,1.90249,0.0013,0.00248,1.34429,0.0013,0.00175,1.54574,0.0013,0.00201,1.68167,0.0013,0.00219,1.30658,0.0013,0.0017,1.71976,0.0013,0.00224,1.37571,0.0013,0.00179,1.8243,0.0013,0.00237,0,0,0
3,M.Elneny,ARS,MID,4.4,1.07323,0,0,1.04838,0.01126,0.01181,1.04523,0.02263,0.02365,1.05186,0.03633,0.03822,1.10278,0.03706,0.04086,1.07659,0.03706,0.03989,1.07152,0.03706,0.03971,1.06094,0.03706,0.03931,0.98506,0.03706,0.0365,1.05807,0.03706,0.03921,1.04022,0.03706,0.03855,1.04719,0.03706,0.0388,1.04701,0.03706,0.0388,1.04363,0.03706,0.03867,1.11368,0.03706,0.04127,1.04906,0.03706,0.03887,1.08836,0.03706,0.04033,0,0,0
4,"Fábio Vieira",ARS,MID,5.4,1.8556,0.23387,0.43398,1.78847,0.48284,0.86354,1.77995,0.64127,1.14143,1.79786,0.71624,1.28771,1.93542,0.75001,1.45159,1.86466,0.75001,1.39852,1.85098,0.75001,1.38826,1.82238,0.75001,1.36681,1.61742,0.75001,1.21308,1.81465,0.75001,1.36101,1.76642,0.75001,1.32483,1.78525,0.75001,1.33896,1.78476,0.75001,1.33859,1.77563,0.75001,1.33174,1.96487,0.75001,1.47368,1.79031,0.75001,1.34276,1.89646,0.75001,1.42237,0,0,0
5,Gabriel,ARS,DEF,5,5.15088,0.62834,3.23651,4.03645,0.82958,3.34857,4.05605,0.89807,3.64263,4.90527,0.92976,4.56074,4.39861,0.92976,4.08967,4.07724,0.92976,3.79086,4.48554,0.92976,4.17049,3.67557,0.92976,3.41741,2.94811,0.92976,2.74104,5.06316,0.92976,4.70754,3.65752,0.92976,3.40063,4.16481,0.92976,3.87228,4.50711,0.92976,4.19054,3.56258,0.92976,3.31235,4.60301,0.92976,4.27971,3.73666,0.92976,3.47421,4.86627,0.92976,4.52448,0,0,0
6,Havertz,ARS,MID,7.1,3.60726,0.93899,3.38717,3.53861,0.93899,3.32271,3.57196,0.93899,3.35403,3.66333,0.93899,3.43981,3.98554,0.93899,3.74237,3.83025,0.93899,3.59655,3.80024,0.93899,3.56837,3.73747,0.93899,3.50944,3.28766,0.93899,3.08707,3.72051,0.93899,3.49351,3.61465,0.93899,3.39411,3.65598,0.93899,3.43292,3.6549,0.93899,3.4319,3.63486,0.93899,3.41309,4.05017,0.93899,3.80306,3.66709,0.93899,3.44335,3.90004,0.93899,3.66208,0,0,0
7,Holding,CRY,DEF,4.3,2.39179,0.00115,0.00275,1.67341,0.00445,0.00744,1.68162,0.00918,0.01544,1.79492,0.0122,0.02189,2.29197,0.01363,0.03124,1.63025,0.01435,0.02339,2.31236,0.01435,0.03318,2.01028,0.01435,0.02884,2.11725,0.01435,0.03038,1.98191,0.01435,0.02844,1.45754,0.01435,0.02091,1.28874,0.01435,0.01849,2.06948,0.01435,0.02969,1.93945,0.01435,0.02783,1.9901,0.01435,0.02855,2.0596,0.01435,0.02955,1.904,0.01435,0.02732,0,0,0
8,G.Jesus,ARS,FWD,8,4.11041,0.94056,3.86608,4.15547,0.94056,3.90846,4.31203,0.94056,4.05571,4.11187,0.94056,3.86745,4.53869,0.94056,4.26889,4.30999,0.94056,4.05379,4.03596,0.94056,3.79604,3.9436,0.94056,3.70918,3.80031,0.94056,3.5744,5.02664,0.94056,4.72784,4.12967,0.94056,3.88419,4.1583,0.94056,3.91111,4.23845,0.94056,3.9865,4.26867,0.94056,4.01492,4.08072,0.94056,3.83815,3.97355,0.94056,3.73735,4.35651,0.94056,4.09754,0,0,0
9,Jorginho,ARS,MID,5.3,2.35056,0.42145,0.99064,2.29367,0.42145,0.96667,2.29993,0.42145,0.9693,2.33468,0.42145,0.98395,2.49834,0.42145,1.05292,2.42209,0.42145,1.02079,2.40736,0.42145,1.01458,2.37654,0.42145,1.00159,2.15569,0.42145,0.90851,2.36821,0.42145,0.99808,2.31624,0.42145,0.97618,2.33653,0.42145,0.98473,2.336,0.42145,0.9845,2.32616,0.42145,0.98036,2.53007,0.42145,1.0663,2.34198,0.42145,0.98703,2.45636,0.42145,1.03523,0,0,0
10,Kiwior,ARS,DEF,4.3,2.39597,0.60253,1.44365,1.92571,0.60253,1.1603,2.07239,0.60253,1.24868,2.67898,0.60253,1.61417,2.51624,0.60253,1.51611,2.34176,0.60253,1.41098,2.56343,0.60253,1.54455,2.12368,0.60253,1.27959,1.72873,0.60253,1.04161,2.87704,0.60253,1.73351,2.11389,0.60253,1.27368,2.3893,0.60253,1.43963,2.57515,0.60253,1.55161,2.06234,0.60253,1.24262,2.62721,0.60253,1.58298,2.15685,0.60253,1.29957,2.77015,0.60253,1.6691,0,0,0
