chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90,previous_gw,current_gw,next_gw,position,team_name
0.0,0.0,232223,0,0,-1,1,0,4,0.0,0.0,0,Folarin,0.0,1,False,Transferred to Monaco,2023-08-31T08:55:15.272751Z,4.4,232223.jpg,0.0,Balogun,0.2,False,,u,1,3,0,10024,0,62539,0,0.0,0.0,Balogun,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,641,63,632,64,610,63,645,65,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,531,94,492,39,654,68,325,51,0.0,0.0,21,22,23,FWD,Arsenal
,,58822,0,0,-1,1,0,2,0.0,0.5,0,Cédric,0.0,2,False,,,3.9,58822.jpg,0.0,Alves Soares,0.4,False,,a,1,3,0,35398,2,43181,9,0.0,0.0,Cédric,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,505,180,486,178,450,161,509,179,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,744,233,300,100,517,177,254,98,0.0,0.0,21,22,23,DEF,Arsenal
25.0,25.0,153256,0,0,-1,1,0,3,0.0,0.1,0,Mohamed,0.0,3,False,International Duty - 25% chance of playing,2023-12-30T22:30:09.113694Z,4.4,153256.jpg,4.0,Elneny,0.1,False,,d,1,3,4,12821,0,19166,1,0.0,0.9,M.Elneny,1,0,1,0,0,0,0,0,0,0,0,0,12,1.8,0.5,2.0,0.4,0,0.00,0.00,0.00,0.00,489,223,459,224,433,215,487,222,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,502,292,477,158,55,32,469,159,0.0,0.0,21,22,23,MID,Arsenal
50.0,50.0,438098,0,0,-1,1,0,3,0.0,0.2,0,Fábio,0.0,4,False,Lack of match fitness - 50% chance of playing,2023-12-07T12:00:08.489004Z,5.4,438098.jpg,2.6,Ferreira Vieira,0.1,False,,d,1,3,21,11481,0,18639,2,0.0,3.9,Fábio Vieira,236,1,3,1,2,0,0,0,0,1,0,0,62,79.4,63.6,77.0,21.9,2,1.20,0.35,1.55,1.48,340,147,282,154,218,122,325,147,5.0,,,,4.0,,0.46,0.0,0.13,0.59,0.56,0.76,127,79,744,319,217,96,442,144,0.76,0.38,21,22,23,MID,Arsenal
75.0,75.0,226597,0,0,0,0,2,2,6.8,7.1,1,Gabriel,9.0,5,False,Knock - 75% chance of playing,2024-01-20T15:30:09.437664Z,5.0,226597.jpg,3.8,dos Santos Magalhães,18.2,False,,d,1,3,76,1619015,253,2678543,251,1.8,15.2,Gabriel,1568,2,1,6,17,0,0,0,1,0,0,6,342,368.0,75.9,158.0,60.3,18,2.11,0.37,2.48,15.09,69,23,253,74,136,16,141,32,,,,,,,0.12,0.0,0.02,0.14,0.87,0.98,198,23,1,1,70,13,19,7,1.03,0.34,21,22,23,DEF,Arsenal
100.0,100.0,219847,0,0,-4,4,0,3,1.5,2.0,0,Kai,1.5,6,False,,2023-12-23T20:00:08.458889Z,7.1,219847.jpg,2.8,Havertz,1.6,False,,a,1,3,55,95467,8,400925,35,0.2,7.7,Havertz,1236,4,1,5,14,0,0,0,5,0,0,0,157,225.2,224.3,282.0,73.2,14,4.21,1.22,5.43,10.43,183,76,95,71,66,40,98,64,,,,,3.0,,0.31,0.0,0.09,0.4,0.76,1.02,30,17,140,63,187,82,148,45,1.02,0.36,21,22,23,MID,Arsenal
100.0,100.0,205651,0,0,0,0,1,4,3.0,3.5,1,Gabriel,3.0,8,False,,2024-01-07T23:00:09.962420Z,8.0,205651.jpg,3.2,Fernando de Jesus,4.3,False,,a,1,3,54,1010644,77,904116,226,0.4,6.8,G.Jesus,1038,3,3,6,11,0,0,0,4,0,0,8,182,242.4,280.8,520.0,104.3,13,4.87,1.90,6.77,9.40,169,18,66,6,18,10,42,10,,,,,,,0.42,0.0,0.16,0.58,0.82,0.95,14,5,62,14,136,22,83,14,1.13,0.52,21,22,23,FWD,Arsenal
100.0,100.0,85955,0,0,-2,2,0,3,2.0,2.5,0,Jorge Luiz,2.0,9,False,,2023-12-18T00:00:09.353001Z,5.3,85955.jpg,1.6,Frello Filho,0.2,False,,a,1,3,19,9296,4,19016,1,0.4,3.6,Jorginho,400,0,1,1,6,0,0,0,1,0,0,0,82,71.8,82.2,10.0,16.4,4,0.10,0.51,0.61,4.73,348,151,242,139,403,203,352,160,,,,,,,0.02,0.0,0.11,0.13,1.06,1.35,132,82,98,32,363,159,338,103,0.9,0.23,21,22,23,MID,Arsenal
,,440854,0,0,-2,2,0,2,0.5,1.0,0,Jakub,0.5,10,False,,,4.3,440854.jpg,1.6,Kiwior,0.1,False,,a,1,3,14,5455,2,9870,3,0.1,3.3,Kiwior,301,0,0,1,6,0,0,0,0,0,0,0,67,53.6,13.3,18.0,8.6,4,0.37,0.08,0.45,1.97,377,142,401,145,370,130,410,146,,,,,,,0.11,0.0,0.02,0.13,0.59,1.79,614,150,216,67,355,124,437,170,1.2,0.3,21,22,23,DEF,Arsenal
0.0,0.0,479683,0,0,0,0,0,3,0.0,0.0,0,Marcus,0.0,11,False,Season long loan to FC Nantes,2023-08-14T03:57:12.475590Z,4.5,479683.jpg,0.0,Oliveira Alencar,0.0,False,,u,1,3,0,819,0,11781,0,0.0,0.0,Marquinhos,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,695,277,690,276,683,275,700,279,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,427,246,584,207,700,280,541,192,0.0,0.0,21,22,23,MID,Arsenal
100.0,100.0,444145,0,0,-3,3,1,3,7.5,8.0,1,Gabriel,7.5,12,False,,2023-12-12T17:30:08.345180Z,7.7,444145.jpg,3.6,Martinelli Silva,6.1,False,,a,1,3,72,1050821,263,1850255,73,1.0,9.4,Martinelli,1330,4,3,5,17,0,0,0,1,0,0,3,256,311.8,460.0,504.0,127.0,18,3.24,2.90,6.14,10.74,109,41,21,15,20,10,24,14,4.0,,3.0,,,,0.22,0.0,0.2,0.42,0.73,1.15,19,12,3,2,88,48,61,23,1.22,0.34,21,22,23,MID,Arsenal
100.0,100.0,205533,0,0,-3,3,1,4,2.0,2.5,0,Eddie,2.0,13,False,,2023-11-09T08:30:08.250179Z,5.2,205533.jpg,3.2,Nketiah,4.1,False,,a,1,3,64,1552845,24,1577350,113,0.4,12.3,Nketiah,967,5,4,6,8,0,0,0,3,0,0,5,196,226.8,122.2,352.0,69.1,10,4.16,0.47,4.63,9.23,181,19,181,28,45,20,109,20,,,,,,,0.39,0.0,0.04,0.43,0.86,0.74,157,40,96,17,127,20,87,16,0.93,0.56,21,22,23,FWD,Arsenal
100.0,100.0,184029,0,0,0,0,1,3,2.0,2.5,1,Martin,2.0,14,False,,2023-11-04T21:00:08.152623Z,8.5,184029.jpg,4.6,Ødegaard,16.9,False,,a,1,3,87,1877966,158,2602465,345,0.2,10.2,Ødegaard,1623,4,4,7,17,0,0,0,1,0,0,12,329,417.2,707.5,394.0,151.8,19,4.21,4.29,8.50,15.25,50,17,7,4,37,22,12,8,3.0,,1.0,,2.0,,0.23,0.0,0.24,0.47,0.85,0.94,9,5,101,35,32,22,21,9,1.05,0.39,21,22,23,MID,Arsenal
0.0,0.0,167199,0,0,-2,2,0,3,0.0,0.0,0,Thomas,0.0,15,False,Muscle injury - Expected back 04 Feb,2023-10-25T12:00:07.465521Z,4.8,167199.jpg,1.8,Partey,0.1,False,,i,1,3,7,8620,0,37338,0,0.0,1.5,Thomas,250,0,0,1,2,0,0,0,0,0,0,0,58,55.8,60.0,15.0,13.1,3,0.07,0.21,0.28,2.53,375,165,287,156,385,193,374,170,,,,,,,0.03,0.0,0.08,0.11,0.91,0.72,277,180,663,261,326,139,365,117,1.08,0.36,21,22,23,MID,Arsenal
0.0,0.0,195735,0,0,-1,1,0,3,0.0,0.0,0,Nicolas,0.0,16,False,Permanent move to Trabzonspor,2023-09-11T14:13:51.462896Z,4.9,195735.jpg,0.0,Pépé,0.0,False,,u,1,3,0,667,0,6396,0,0.0,0.0,Pepe,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,756,321,753,320,750,319,757,321,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,234,151,685,277,757,321,538,190,0.0,0.0,21,22,23,MID,Arsenal
,,225321,0,0,-5,5,0,1,0.0,0.5,0,Aaron,0.0,17,False,,,4.5,225321.jpg,3.4,Ramsdale,6.0,False,,a,1,3,17,264890,2,1451756,27,0.0,3.8,Ramsdale,450,0,0,2,4,0,0,0,0,0,6,0,77,55.8,0.0,0.0,5.6,5,0.00,0.01,0.01,4.84,374,28,666,83,653,78,429,28,,,,,,,0.0,1.2,0.0,0.0,0.97,0.8,386,21,553,87,101,15,62,12,1.0,0.4,21,22,23,GKP,Arsenal
0.0,0.0,115918,0,0,0,0,0,1,0.0,0.0,0,Rúnar Alex,0.0,18,False,Season long loan to Cardiff City,2023-08-20T06:33:02.960208Z,4.0,115918.jpg,0.0,Rúnarsson,0.1,False,,u,1,3,0,990,0,11120,0,0.0,0.0,Rúnarsson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,541,61,527,45,495,35,546,61,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,657,42,346,53,553,61,447,64,0.0,0.0,21,22,23,GKP,Arsenal
100.0,100.0,223340,0,0,6,-6,2,3,2.0,2.5,1,Bukayo,2.0,19,True,,2023-11-09T08:30:08.290130Z,9.1,223340.jpg,5.3,Saka,61.2,False,,a,1,3,111,4621378,297,4281035,1015,0.2,12.2,Saka,1777,6,8,7,20,0,0,0,2,0,0,11,408,571.8,807.9,694.0,207.6,21,6.93,6.84,13.77,16.24,9,3,4,3,7,3,2,2,1.0,,,,1.0,,0.35,0.0,0.35,0.7,0.82,1.01,6,4,102,36,17,11,1,1,1.06,0.35,21,22,23,MID,Arsenal
100.0,100.0,462424,0,0,6,-6,0,2,3.5,4.0,1,William,3.5,20,False,,2023-10-09T08:30:07.861646Z,5.6,462424.jpg,3.7,Saliba,37.5,False,,a,1,3,82,3599959,263,1885417,304,0.6,14.6,Saliba,1914,1,1,8,20,0,0,0,2,0,0,6,412,384.4,89.6,65.0,54.0,22,1.17,0.61,1.78,17.19,60,18,227,65,237,63,158,38,,,,,,,0.06,0.0,0.03,0.09,0.81,0.94,99,8,44,12,76,15,5,1,1.03,0.38,21,22,23,DEF,Arsenal
100.0,100.0,209289,0,0,-2,2,0,3,1.0,1.5,1,Emile,1.0,22,False,,2023-11-02T11:00:07.493976Z,5.3,209289.jpg,1.6,Smith Rowe,0.1,False,,a,1,3,13,5349,14,16534,1,0.2,2.5,Smith Rowe,161,0,1,1,0,0,0,0,0,0,0,0,35,44.8,20.7,65.0,12.9,2,0.97,0.11,1.08,1.05,393,177,377,192,236,127,380,173,,,,,,,0.54,0.0,0.06,0.6,0.59,0.0,144,91,184,89,364,160,419,136,1.12,0.56,21,22,23,MID,Arsenal
0.0,0.0,192895,0,0,-1,1,0,2,0.0,0.0,0,Kieran,0.0,24,False,Season long loan to Real Sociedad,2023-08-29T07:46:59.686803Z,4.4,192895.jpg,0.0,Tierney,0.1,False,,u,1,3,0,2665,0,28594,0,0.0,0.0,Tierney,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,635,247,625,247,603,242,639,247,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,514,102,484,207,648,246,415,161,0.0,0.0,21,22,23,DEF,Arsenal
0.0,0.0,223723,0,0,0,0,1,2,0.0,0.0,0,Takehiro,0.0,25,False,International Duty - Unknown return date,2023-12-02T18:30:08.259180Z,4.5,223723.jpg,3.0,Tomiyasu,0.3,False,,i,1,3,39,79502,0,88427,2,0.0,8.7,Tomiyasu,628,1,1,3,5,0,0,0,0,1,0,3,147,139.6,67.8,57.0,26.2,5,0.48,0.41,0.89,7.25,272,107,273,86,257,74,300,104,,,,,,,0.07,0.0,0.06,0.13,1.04,0.72,385,72,552,232,149,38,296,112,0.72,0.43,21,22,23,DEF,Arsenal
100.0,100.0,116216,0,0,-5,5,2,3,4.0,4.5,0,Leandro,4.0,26,False,,2023-10-09T08:30:07.911344Z,6.5,116216.jpg,3.2,Trossard,1.7,False,,a,1,3,55,302370,27,687387,19,0.6,8.5,Trossard,725,4,1,3,6,0,0,0,0,0,0,6,146,215.6,208.8,326.0,74.9,7,4.22,1.56,5.78,6.48,200,81,105,77,53,33,95,63,2.0,,,,,,0.52,0.0,0.19,0.71,0.8,0.74,47,28,26,11,134,63,147,44,0.87,0.37,21,22,23,MID,Arsenal
100.0,100.0,198869,0,0,1,-1,2,2,3.5,4.0,1,Benjamin,3.5,29,False,,2023-11-12T02:00:08.673390Z,5.6,198869.jpg,3.6,White,11.0,False,,a,1,3,76,1439227,63,1325184,127,0.6,13.6,White,1589,1,2,7,19,0,0,0,4,0,0,7,376,361.2,288.3,107.0,75.6,19,0.75,2.09,2.84,14.93,73,24,62,11,178,34,90,12,,,,,,,0.04,0.0,0.12,0.16,0.85,1.08,95,7,43,11,86,18,36,11,1.08,0.4,21,22,23,DEF,Arsenal
0.0,0.0,84450,0,0,0,0,0,3,0.0,0.0,0,Granit,0.0,30,False,Transferred to Bayer Leverkusen,2023-07-11T08:41:07.159936Z,6.0,84450.jpg,0.0,Xhaka,0.0,False,,u,1,3,0,0,0,1218,0,0.0,0.0,Xhaka,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,785,341,785,341,785,341,785,341,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,62,38,759,327,785,341,686,274,0.0,0.0,21,22,23,MID,Arsenal
100.0,100.0,206325,0,0,2,-2,2,2,3.5,4.0,1,Oleksandr,3.5,31,False,,2023-12-31T22:00:10.846948Z,5.2,206325.jpg,3.9,Zinchenko,10.5,False,,a,1,3,78,1492483,146,1141118,108,0.7,15.0,Zinchenko,1316,1,1,7,11,0,0,0,2,0,0,11,356,296.4,334.2,123.0,75.3,16,0.49,2.28,2.77,10.35,118,45,49,7,158,23,94,15,,,,,,,0.03,0.0,0.16,0.19,0.71,0.75,158,16,41,10,63,12,38,12,1.09,0.48,21,22,23,DEF,Arsenal
100.0,100.0,154561,0,0,-1,1,0,1,4.5,5.0,1,David,4.5,113,False,,2023-11-13T01:00:08.923385Z,4.9,154561.jpg,3.8,Raya Martin,6.4,False,,a,1,3,64,811680,62,692046,83,0.9,13.1,Raya,1464,0,0,6,16,0,1,0,0,0,28,3,285,244.6,0.0,0.0,24.4,17,0.00,0.02,0.02,12.35,167,21,750,87,747,85,315,21,,,,,,,0.0,1.72,0.0,0.0,0.76,0.98,228,8,16,5,68,7,59,11,1.05,0.37,21,22,23,GKP,Arsenal
75.0,75.0,204480,0,0,-1,1,1,3,2.6,3.0,1,Declan,3.5,540,False,Muscle injury - 75% chance of playing,2024-01-20T15:30:10.454900Z,5.4,204480.jpg,3.5,Rice,4.8,False,,d,1,3,76,490332,31,684966,204,0.6,14.1,Rice,1839,3,2,8,19,0,0,0,2,0,0,7,389,474.4,292.0,177.0,94.4,22,1.59,1.34,2.93,16.43,32,11,61,48,119,76,55,40,,,4.0,,,,0.08,0.0,0.07,0.15,0.8,0.93,121,73,42,15,97,49,74,27,1.08,0.39,21,22,23,MID,Arsenal
100.0,100.0,200641,0,0,-2,2,0,3,0.0,0.5,0,Reiss,0.0,578,False,,2023-08-07T15:30:06.067296Z,4.8,200641.jpg,0.9,Nelson,0.0,False,,a,1,3,8,6367,2,7685,1,0.0,1.7,Nelson,102,0,0,0,0,0,0,0,1,0,0,0,26,20.6,41.2,13.0,7.4,0,0.04,0.33,0.37,1.71,434,194,330,175,394,198,417,193,,,,,,,0.04,0.0,0.29,0.33,1.51,0.0,284,184,668,264,491,232,549,198,0.0,0.0,21,22,23,MID,Arsenal
0.0,0.0,445122,0,0,-4,4,0,2,0.0,0.0,0,Jurriën,0.0,585,False,Knee injury - Unknown return date,2023-08-12T18:00:07.121160Z,4.6,445122.jpg,0.0,Timber,0.4,False,,i,1,3,0,12394,1,479359,2,0.0,0.0,J.Timber,49,0,0,0,0,0,0,0,1,0,0,0,3,3.6,2.4,0.0,0.6,1,0.00,0.01,0.01,0.28,478,175,435,159,733,254,480,171,,,,,,,0.0,0.0,0.02,0.02,0.51,0.0,344,50,641,241,743,254,239,90,1.84,0.0,21,22,23,DEF,Arsenal
,,463748,0,0,0,0,0,1,0.0,0.5,0,Karl,0.0,646,False,,,4.0,463748.jpg,0.0,Hein,0.1,False,,a,1,3,0,4651,2,3992,1,0.0,0.0,Hein,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,580,74,566,58,534,48,585,74,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,703,55,389,66,592,74,514,69,0.0,0.0,21,22,23,GKP,Arsenal
,,516874,0,0,0,0,0,3,0.0,0.5,0,Charles,0.0,735,False,,,4.5,516874.jpg,0.0,Sagoe,0.0,False,,a,1,3,0,609,0,441,0,0.0,0.0,Sagoe,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,718,296,715,296,709,295,723,298,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,458,271,612,230,723,299,732,300,0.0,0.0,21,22,23,MID,Arsenal
,,535262,0,0,0,0,0,2,0.0,0.5,0,Reuell,0.0,736,False,,,4.0,535262.jpg,0.0,Walters,0.0,False,,a,1,3,0,2619,0,1661,0,0.0,0.0,Walters,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,603,234,590,233,560,222,608,234,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,732,225,414,166,615,231,593,213,0.0,0.0,21,22,23,DEF,Arsenal
,,535264,0,0,0,0,0,3,0.0,0.5,0,Bradley,0.0,737,False,,,4.5,535264.jpg,0.0,Ibrahim,0.0,False,,a,1,3,0,538,0,398,0,0.0,0.0,Ibrahim,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,728,302,725,302,720,302,733,304,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,471,279,623,236,732,304,730,298,0.0,0.0,21,22,23,MID,Arsenal
,,499169,0,0,0,0,0,3,0.0,0.5,0,Myles,0.0,764,False,,,4.5,499169.jpg,0.0,Lewis-Skelly,0.0,False,,a,1,3,0,45,0,24,0,0.0,0.0,Lewis-Skelly,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,709,288,704,287,698,286,714,290,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,445,260,599,219,714,291,775,332,0.0,0.0,21,22,23,MID,Arsenal
,,499175,0,0,0,0,0,3,0.0,0.5,0,Ethan,0.0,772,False,,,4.5,499175.jpg,0.0,Nwaneri,0.0,False,,a,1,3,0,39,0,17,0,0.0,0.0,Nwaneri,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,710,289,705,288,699,287,715,291,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,446,261,600,220,715,292,784,337,0.0,0.0,21,22,23,MID,Arsenal
100.0,100.0,106468,0,0,1,-1,1,2,4.0,3.0,0,Alexandre,3.5,32,False,,2023-09-24T22:30:06.810510Z,5.1,106468.jpg,2.8,Moreno Lopera,1.6,False,,a,2,7,22,228593,128,80127,19,0.7,4.3,Alex Moreno,355,1,0,1,7,0,0,0,0,0,0,3,75,107.4,88.1,99.0,29.4,3,0.85,0.78,1.63,4.09,307,121,230,66,187,40,280,94,,,,,,,0.22,0.0,0.2,0.42,1.04,1.77,163,17,40,9,181,53,152,61,0.76,0.25,21,22,23,DEF,Aston Villa
100.0,100.0,215711,0,0,2,-2,1,3,2.0,1.0,0,Leon,1.5,34,False,,2023-12-15T09:30:09.140206Z,5.7,215711.jpg,4.1,Bailey,3.6,False,,a,2,7,77,718288,40,449764,126,0.3,13.5,Bailey,922,6,5,4,13,0,0,0,3,0,0,5,229,347.8,279.2,328.0,95.4,9,3.01,3.16,6.17,14.26,81,28,69,51,52,32,53,38,4.0,,,,,,0.29,0.0,0.31,0.6,1.39,1.27,86,53,137,61,52,31,95,32,0.88,0.39,21,22,23,MID,Aston Villa
