ID,Name,Team,Pos,Price,24_pts_no_prob,24_prob,24_with_prob,25_pts_no_prob,25_prob,25_with_prob,26_pts_no_prob,26_prob,26_with_prob,27_pts_no_prob,27_prob,27_with_prob,28_pts_no_prob,28_prob,28_with_prob,29_pts_no_prob,29_prob,29_with_prob,30_pts_no_prob,30_prob,30_with_prob,31_pts_no_prob,31_prob,31_with_prob,32_pts_no_prob,32_prob,32_with_prob,33_pts_no_prob,33_prob,33_with_prob,34_pts_no_prob,34_prob,34_with_prob,35_pts_no_prob,35_prob,35_with_prob,36_pts_no_prob,36_prob,36_with_prob,37_pts_no_prob,37_prob,37_with_prob,38_pts_no_prob,38_prob,38_with_prob,tba_pts_no_prob,tba_prob,tba_with_prob
1,Balogun,ARS,FWD,4.4,1.49612,0.0,0.13785,1.57128,0.0,0.14478,1.55681,0.0,0.14344,1.5922,0.0,0.1467,1.46398,0.0,0.13489,1.46626,0.0,0.1351,1.37913,0.0,0.12707,1.55323,0.0,0.14311,1.44639,0.0,0.13327,1.53291,0.0,0.14124,1.47669,0.0,0.13606,1.43642,0.0,0.13235,1.57052,0.0,0.14471,1.38361,0.0,0.12748,1.60086,0.0,0.1475,0.0,0.0,0.0
2,Cédric,ARS,DEF,3.9,1.3891,0.00101,0.00141,1.78089,0.00101,0.0018,1.60498,0.00101,0.00163,1.50822,0.00101,0.00153,1.68311,0.00101,0.0017,1.39329,0.00101,0.00141,1.09841,0.00101,0.00111,1.86443,0.00101,0.00189,1.34048,0.00101,0.00136,1.5428,0.00101,0.00156,1.65205,0.00101,0.00167,1.29108,0.00101,0.00131,1.7006,0.00101,0.00172,1.37571,0.00101,0.00139,1.79629,0.00101,0.00182,0.0,0.0,0.0
3,M.Elneny,ARS,MID,4.4,1.03158,0.02372,0.02447,1.04241,0.03151,0.03284,1.08935,0.03521,0.03836,1.06926,0.03707,0.03964,1.06622,0.03707,0.03952,1.05293,0.03707,0.03903,0.97513,0.03707,0.03615,1.0537,0.03707,0.03906,1.02643,0.03707,0.03805,1.03314,0.03707,0.0383,1.04336,0.03707,0.03868,1.03057,0.03707,0.0382,1.10566,0.03707,0.04098,1.03923,0.03707,0.03852,1.08625,0.03707,0.04027,0.0,0.0,0.0
4,Fábio Vieira,ARS,MID,5.4,1.75245,0.23385,0.40982,1.78164,0.48279,0.86017,1.90811,0.64121,1.2235,1.85399,0.71617,1.32777,1.84579,0.74983,1.38403,1.80997,0.74983,1.35717,1.60034,0.74983,1.19998,1.81205,0.74983,1.35873,1.73857,0.74983,1.30364,1.75666,0.74983,1.3172,1.78419,0.74983,1.33784,1.74974,0.74983,1.31201,1.95207,0.74983,1.46372,1.77307,0.74983,1.3295,1.89976,0.74983,1.4245,0.0,0.0,0.0
5,Gabriel,ARS,DEF,5.0,4.01307,0.93221,3.74104,4.87608,0.93221,4.54554,4.30693,0.93221,4.01498,4.07714,0.93221,3.80076,4.51778,0.93221,4.21153,3.78757,0.93221,3.53082,3.04463,0.93221,2.83824,4.97462,0.93221,4.63741,3.65452,0.93221,3.4068,4.16426,0.93221,3.88198,4.43952,0.93221,4.13858,3.53006,0.93221,3.29077,4.56184,0.93221,4.2526,3.74329,0.93221,3.48955,4.80293,0.93221,4.47736,0.0,0.0,0.0
6,Havertz,ARS,MID,7.1,3.28897,0.93947,3.08989,3.45174,0.93947,3.24281,3.78918,0.93947,3.55983,3.72311,0.93947,3.49776,3.70572,0.93947,3.48142,3.62972,0.93947,3.41002,3.18492,0.93947,2.99214,3.63412,0.93947,3.41415,3.47823,0.93947,3.26769,3.51661,0.93947,3.30375,3.57502,0.93947,3.35863,3.50192,0.93947,3.28995,3.93122,0.93947,3.69327,3.55142,0.93947,3.33646,3.82022,0.93947,3.58899,0.0,0.0,0.0
7,Holding,CRY,DEF,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,G.Jesus,ARS,FWD,8.0,4.36835,0.94072,4.10939,4.06781,0.94072,3.82666,4.58032,0.94072,4.30879,4.4709,0.94072,4.20585,4.06626,0.94072,3.82521,4.013,0.94072,3.7751,3.77589,0.94072,3.55205,4.91985,0.94072,4.6282,4.08532,0.94072,3.84313,4.10027,0.94072,3.8572,4.29233,0.94072,4.03787,4.34261,0.94072,4.08517,4.01887,0.94072,3.78063,3.96987,0.94072,3.73453,4.32303,0.94072,4.06676,0.0,0.0,0.0
9,Jorginho,ARS,MID,5.3,2.12427,0.5554,1.17981,2.20679,0.5554,1.22564,2.39078,0.5554,1.32783,2.37095,0.5554,1.31681,2.3624,0.5554,1.31206,2.32503,0.5554,1.29131,2.10636,0.5554,1.16986,2.3272,0.5554,1.29251,2.25055,0.5554,1.24995,2.26942,0.5554,1.26043,2.29814,0.5554,1.27638,2.2622,0.5554,1.25642,2.47325,0.5554,1.37363,2.28654,0.5554,1.26993,2.41869,0.5554,1.34333,0.0,0.0,0.0
10,Kiwior,ARS,DEF,4.3,1.87622,0.68706,1.28908,2.50354,0.68706,1.72008,2.35115,0.68706,1.61538,2.26633,0.68706,1.5571,2.496,0.68706,1.7149,2.1154,0.68706,1.45341,1.72815,0.68706,1.18735,2.73413,0.68706,1.87851,2.04605,0.68706,1.40576,2.31174,0.68706,1.5883,2.45522,0.68706,1.68688,1.98117,0.68706,1.36119,2.51897,0.68706,1.73068,2.09232,0.68706,1.43755,2.64464,0.68706,1.81702,0.0,0.0,0.0
