ID,Name,Team,Pos,Price,24_pts_no_prob,24_prob,24_with_prob,25_pts_no_prob,25_prob,25_with_prob,26_pts_no_prob,26_prob,26_with_prob,27_pts_no_prob,27_prob,27_with_prob,28_pts_no_prob,28_prob,28_with_prob,29_pts_no_prob,29_prob,29_with_prob,30_pts_no_prob,30_prob,30_with_prob,31_pts_no_prob,31_prob,31_with_prob,32_pts_no_prob,32_prob,32_with_prob,33_pts_no_prob,33_prob,33_with_prob,34_pts_no_prob,34_prob,34_with_prob,35_pts_no_prob,35_prob,35_with_prob,36_pts_no_prob,36_prob,36_with_prob,37_pts_no_prob,37_prob,37_with_prob,38_pts_no_prob,38_prob,38_with_prob,tba_pts_no_prob,tba_prob,tba_with_prob
1,Balogun,ARS,FWD,4.4,1.49612,0.0,0.13785,1.57128,0.0,0.14478,1.55681,0.0,0.14344,1.5922,0.0,0.1467,1.46398,0.0,0.13489,1.46626,0.0,0.1351,1.37913,0.0,0.12707,1.55323,0.0,0.14311,1.44639,0.0,0.13327,1.53291,0.0,0.14124,1.47669,0.0,0.13606,1.43642,0.0,0.13235,1.57052,0.0,0.14471,1.38361,0.0,0.12748,1.60086,0.0,0.1475,0.0,0.0,0.0
2,Cédric,ARS,DEF,3.9,1.3891,0.00079,0.0011,1.78089,0.00079,0.0014,1.60498,0.00079,0.00127,1.50822,0.00079,0.00119,1.68311,0.00079,0.00133,1.39329,0.00079,0.0011,1.09841,0.00079,0.00087,1.86443,0.00079,0.00147,1.34048,0.00079,0.00106,1.5428,0.00079,0.00122,1.65205,0.00079,0.0013,1.29108,0.00079,0.00102,1.7006,0.00079,0.00134,1.42303,0.00079,0.00112,1.79629,0.00079,0.00142,0.0,0.0,0.0
3,M.Elneny,ARS,MID,4.4,1.02189,0.03708,0.03789,1.03266,0.03708,0.03829,1.07932,0.03708,0.04002,1.05935,0.03708,0.03928,1.05633,0.03708,0.03917,1.04311,0.03708,0.03868,0.96577,0.03708,0.03581,1.04388,0.03708,0.03871,1.01677,0.03708,0.0377,1.02345,0.03708,0.03795,1.0336,0.03708,0.03833,1.02089,0.03708,0.03786,1.09554,0.03708,0.04062,1.03192,0.03708,0.03826,1.07624,0.03708,0.03991,0.0,0.0,0.0
4,Fábio Vieira,ARS,MID,5.4,1.73555,0.23389,0.40593,1.7645,0.48287,0.85203,1.88989,0.64132,1.21202,1.83623,0.71627,1.31524,1.8281,0.74984,1.37078,1.79259,0.74984,1.34415,1.58473,0.74984,1.18829,1.79464,0.74984,1.34569,1.72179,0.74984,1.29107,1.73973,0.74984,1.30452,1.76703,0.74984,1.32499,1.73286,0.74984,1.29937,1.93348,0.74984,1.4498,1.7625,0.74984,1.32159,1.88161,0.74984,1.4109,0.0,0.0,0.0
5,Gabriel,ARS,DEF,5.0,3.88257,0.93414,3.62686,4.75449,0.93414,4.44135,4.20958,0.93414,3.93233,4.00188,0.93414,3.73831,4.45729,0.93414,4.16372,3.7349,0.93414,3.48891,2.99992,0.93414,2.80234,4.90924,0.93414,4.58591,3.60328,0.93414,3.36596,4.10756,0.93414,3.83702,4.37987,0.93414,4.0914,3.48015,0.93414,3.25094,4.50087,0.93414,4.20444,3.80903,0.93414,3.55816,4.73939,0.93414,4.42724,0.0,0.0,0.0
6,Havertz,ARS,MID,7.1,3.69195,0.93985,3.46987,3.80386,0.93985,3.57504,4.10928,0.93985,3.86209,3.9762,0.93985,3.73702,3.90071,0.93985,3.66607,3.81776,0.93985,3.58811,3.33237,0.93985,3.13192,3.82257,0.93985,3.59263,3.65244,0.93985,3.43274,3.69433,0.93985,3.4721,3.75807,0.93985,3.53202,3.6783,0.93985,3.45704,4.14678,0.93985,3.89734,3.74751,0.93985,3.52208,4.02566,0.93985,3.7835,0.0,0.0,0.0
7,Holding,CRY,DEF,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,G.Jesus,ARS,FWD,8.0,4.32846,0.49832,2.15696,4.0305,0.66183,2.6675,4.53883,0.74192,3.36746,4.43031,0.78056,3.45813,4.02888,0.78056,3.1448,3.97604,0.78056,3.10355,3.74081,0.78056,2.91994,4.8757,0.78056,3.8058,4.04778,0.78056,3.15955,4.06262,0.78056,3.17113,4.25316,0.78056,3.31986,4.30304,0.78056,3.35879,3.98187,0.78056,3.1081,3.87504,0.78056,3.02471,4.28361,0.78056,3.34363,0.0,0.0,0.0
9,Jorginho,ARS,MID,5.3,2.16244,0.65642,1.41947,2.24911,0.65642,1.47636,2.43969,0.65642,1.60146,2.42191,0.65642,1.58979,2.41657,0.65642,1.58628,2.3783,0.65642,1.56116,2.15437,0.65642,1.41417,2.38052,0.65642,1.56262,2.30203,0.65642,1.5111,2.32135,0.65642,1.52378,2.35076,0.65642,1.54309,2.31396,0.65642,1.51893,2.53009,0.65642,1.6608,2.34589,0.65642,1.53989,2.47421,0.65642,1.62412,0.0,0.0,0.0
10,Kiwior,ARS,DEF,4.3,1.8265,0.75362,1.37648,2.46729,0.75362,1.8594,2.30967,0.75362,1.74061,2.22223,0.75362,1.67471,2.45824,0.75362,1.85257,2.06808,0.75362,1.55854,1.67111,0.75362,1.25938,2.70234,0.75362,2.03653,1.99699,0.75362,1.50497,2.26935,0.75362,1.71022,2.41643,0.75362,1.82106,1.93049,0.75362,1.45485,2.48178,0.75362,1.87031,2.10812,0.75362,1.58872,2.6106,0.75362,1.9674,0.0,0.0,0.0
11,Marquinhos,ARS,MID,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Martinelli,ARS,MID,7.7,4.8733,0.94113,4.58641,4.91084,0.94113,4.62173,5.21622,0.94113,4.90914,4.99529,0.94113,4.70121,4.88323,0.94113,4.59576,4.77891,0.94113,4.49758,4.1684,0.94113,3.92301,4.78495,0.94113,4.50326,4.57098,0.94113,4.30188,4.62366,0.94113,4.35146,4.70384,0.94113,4.42692,4.6035,0.94113,4.33249,5.19274,0.94113,4.88704,4.69055,0.94113,4.41441,5.04039,0.94113,4.74366,0.0,0.0,0.0
13,Nketiah,ARS,FWD,5.2,2.7289,0.75552,2.06173,2.58448,0.75552,1.95262,2.94449,0.75552,2.22461,2.90185,0.75552,2.1924,2.65859,0.75552,2.00861,2.62656,0.75552,1.98441,2.48401,0.75552,1.87671,3.17176,0.75552,2.39632,2.67004,0.75552,2.01726,2.67903,0.75552,2.02405,2.79449,0.75552,2.11129,2.82472,0.75552,2.13413,2.63009,0.75552,1.98708,2.56536,0.75552,1.93817,2.81295,0.75552,2.12523,0.0,0.0,0.0
14,Ødegaard,ARS,MID,8.5,5.40874,0.92749,5.01655,5.55342,0.92749,5.15074,6.0077,0.92749,5.57208,5.78732,0.92749,5.36768,5.74648,0.92749,5.3298,5.61988,0.92749,5.21238,4.879,0.92749,4.52522,5.62721,0.92749,5.21918,5.36754,0.92749,4.97834,5.43148,0.92749,5.03764,5.52878,0.92749,5.12788,5.40701,0.92749,5.01494,6.12207,0.92749,5.67816,5.51265,0.92749,5.11292,5.93719,0.92749,5.50669,0.0,0.0,0.0
15,Thomas,ARS,MID,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Pepe,ARS,MID,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Ramsdale,ARS,GK,4.5,3.24402,0.0603,0.19562,3.53032,0.0603,0.21288,3.32654,0.0603,0.20059,3.49505,0.0603,0.21075,3.36202,0.0603,0.20273,3.57605,0.0603,0.21564,3.0328,0.0603,0.18288,3.45054,0.0603,0.20807,3.55853,0.0603,0.21458,3.45744,0.0603,0.20848,3.60929,0.0603,0.21764,3.47738,0.0603,0.20969,3.51082,0.0603,0.2117,3.58077,0.0603,0.21592,3.66538,0.0603,0.22102,0.0,0.0,0.0
18,Rúnarsson,ARS,GK,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Saka,ARS,MID,9.0,6.13846,0.94123,5.77771,6.17843,0.94123,5.81534,6.6307,0.94123,6.24103,6.33344,0.94123,5.96123,6.23273,0.94123,5.86644,6.08871,0.94123,5.73089,5.24589,0.94123,4.9376,6.09705,0.94123,5.73874,5.80166,0.94123,5.4607,5.87438,0.94123,5.52916,5.98507,0.94123,5.63334,5.84655,0.94123,5.50296,6.66001,0.94123,6.26861,5.96672,0.94123,5.61607,6.44969,0.94123,6.07065,0.0,0.0,0.0
20,Saliba,ARS,DEF,5.6,3.36318,0.94116,3.16529,4.26468,0.94116,4.01374,3.88088,0.94116,3.65253,3.67231,0.94116,3.45623,4.05629,0.94116,3.81762,3.41582,0.94116,3.21484,2.76419,0.94116,2.60154,4.457,0.94116,4.19475,3.29913,0.94116,3.10501,3.74622,0.94116,3.52579,3.98766,0.94116,3.75302,3.18996,0.94116,3.00226,4.09494,0.94116,3.85399,3.48155,0.94116,3.2767,4.3064,0.94116,4.05302,0.0,0.0,0.0
21,Sambi,LUT,MID,4.9,2.41004,0.9228,2.22397,4.59185,0.9228,4.23734,0.0,0.0,0.0,2.29825,0.9228,2.12081,2.28125,0.9228,2.10513,2.48048,0.9228,2.28898,2.30225,0.9228,2.12451,2.20253,0.9228,2.03248,2.52796,0.9228,2.3328,2.13558,0.9228,1.9707,2.4094,0.9228,2.22339,2.34068,0.9228,2.15997,2.46961,0.9228,2.27894,2.30527,0.9228,2.12729,2.50499,0.9228,2.31159,2.35933,0.9228,2.17719
