ID,Name,Team,Pos,Price,23_pts_no_prob,23_prob,23_with_prob,24_pts_no_prob,24_prob,24_with_prob,25_pts_no_prob,25_prob,25_with_prob,26_pts_no_prob,26_prob,26_with_prob,27_pts_no_prob,27_prob,27_with_prob,28_pts_no_prob,28_prob,28_with_prob,29_pts_no_prob,29_prob,29_with_prob,30_pts_no_prob,30_prob,30_with_prob,31_pts_no_prob,31_prob,31_with_prob,32_pts_no_prob,32_prob,32_with_prob,33_pts_no_prob,33_prob,33_with_prob,34_pts_no_prob,34_prob,34_with_prob,35_pts_no_prob,35_prob,35_with_prob,36_pts_no_prob,36_prob,36_with_prob,37_pts_no_prob,37_prob,37_with_prob,38_pts_no_prob,38_prob,38_with_prob,tba_pts_no_prob,tba_prob,tba_with_prob
1,Balogun,ARS,FWD,4.4,1.58813,0,0.14633,1.49612,0,0.13785,1.57128,0,0.14478,1.55681,0,0.14344,1.5922,0,0.1467,1.46398,0,0.13489,1.46626,0,0.1351,1.37913,0,0.12707,1.55323,0,0.14311,1.44639,0,0.13327,1.53291,0,0.14124,1.47669,0,0.13606,1.43642,0,0.13235,1.57052,0,0.14471,1.38361,0,0.12748,1.60086,0,0.1475,0,0,0
2,Cédric,ARS,DEF,3.9,1.33646,0.00101,0.00135,1.39215,0.00101,0.00141,1.78422,0.00101,0.00181,1.60498,0.00101,0.00163,1.51096,0.00101,0.00153,1.68311,0.00101,0.0017,1.39329,0.00101,0.00141,1.09841,0.00101,0.00111,1.90249,0.00101,0.00193,1.34429,0.00101,0.00136,1.54574,0.00101,0.00157,1.68167,0.00101,0.0017,1.29108,0.00101,0.00131,1.71976,0.00101,0.00174,1.37571,0.00101,0.00139,1.79629,0.00101,0.00182,0,0,0
3,M.Elneny,ARS,MID,4.4,1.03856,0.01898,0.01971,1.03542,0.03151,0.03262,1.04201,0.03521,0.03669,1.08935,0.03707,0.04038,1.06659,0.03707,0.03953,1.06622,0.03707,0.03952,1.05293,0.03707,0.03903,0.97513,0.03707,0.03614,1.04819,0.03707,0.03885,1.03044,0.03707,0.03819,1.03737,0.03707,0.03845,1.03719,0.03707,0.03844,1.03057,0.03707,0.0382,1.10347,0.03707,0.0409,1.03923,0.03707,0.03852,1.08625,0.03707,0.04026,0,0,0
4,"Fábio Vieira",ARS,MID,5.4,1.77124,0.23385,0.41421,1.76279,0.48279,0.85107,1.78055,0.64121,1.14171,1.90811,0.71617,1.36653,1.84678,0.74983,1.38477,1.84579,0.74983,1.38403,1.80997,0.74983,1.35717,1.60034,0.74983,1.19998,1.7972,0.74983,1.3476,1.74937,0.74983,1.31174,1.76805,0.74983,1.32574,1.76756,0.74983,1.32537,1.74974,0.74983,1.31201,1.94614,0.74983,1.45928,1.77307,0.74983,1.3295,1.89976,0.74983,1.4245,0,0,0
5,Gabriel,ARS,DEF,5,3.98708,0.93221,3.71681,4.02074,0.93221,3.74819,4.88448,0.93221,4.55338,4.30693,0.93221,4.01498,4.08405,0.93221,3.80721,4.51778,0.93221,4.21153,3.78757,0.93221,3.53082,3.04463,0.93221,2.83824,5.0705,0.93221,4.72679,3.66411,0.93221,3.41573,4.17167,0.93221,3.88889,4.51416,0.93221,4.20816,3.53006,0.93221,3.29077,4.61011,0.93221,4.29761,3.74329,0.93221,3.48955,4.80293,0.93221,4.47736,0,0,0
6,Havertz,ARS,MID,7.1,3.22803,0.93947,3.03262,3.31092,0.93947,3.1105,3.44943,0.93947,3.24062,3.78918,0.93947,3.55981,3.70783,0.93947,3.48338,3.70572,0.93947,3.4814,3.62972,0.93947,3.41,3.18492,0.93947,2.99212,3.60263,0.93947,3.38454,3.50115,0.93947,3.28921,3.54077,0.93947,3.32643,3.53973,0.93947,3.32545,3.50192,0.93947,3.28993,3.91865,0.93947,3.68143,3.55142,0.93947,3.33643,3.82022,0.93947,3.58897,0,0,0
7,Holding,CRY,DEF,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,G.Jesus,ARS,FWD,8,4.13787,0.94072,3.89257,4.29913,0.94072,4.04427,4.10134,0.94072,3.8582,4.58032,0.94072,4.30879,4.30853,0.94072,4.05311,4.06626,0.94072,3.82521,4.013,0.94072,3.7751,3.77589,0.94072,3.55205,5.0299,0.94072,4.73172,4.12702,0.94072,3.88236,4.15584,0.94072,3.90947,4.23651,0.94072,3.98537,4.34261,0.94072,4.08517,4.07775,0.94072,3.83601,3.96987,0.94072,3.73453,4.32303,0.94072,4.06676,0,0,0
9,Jorginho,ARS,MID,5.3,2.09181,0.5554,1.16178,2.13506,0.5554,1.1858,2.20565,0.5554,1.22501,2.39078,0.5554,1.32783,2.36343,0.5554,1.31264,2.3624,0.5554,1.31206,2.32503,0.5554,1.29131,2.10636,0.5554,1.16986,2.31171,0.5554,1.28392,2.26182,0.5554,1.25621,2.2813,0.5554,1.26703,2.28079,0.5554,1.26674,2.2622,0.5554,1.25642,2.46707,0.5554,1.3702,2.28654,0.5554,1.26993,2.41869,0.5554,1.34333,0,0,0
10,Kiwior,ARS,DEF,4.3,1.69429,0.68706,1.16408,1.88022,0.68706,1.29182,2.50792,0.68706,1.72309,2.35115,0.68706,1.61538,2.26993,0.68706,1.55958,2.496,0.68706,1.7149,2.1154,0.68706,1.45341,1.72815,0.68706,1.18735,2.7841,0.68706,1.91284,2.05105,0.68706,1.40919,2.3156,0.68706,1.59096,2.49412,0.68706,1.71361,1.98117,0.68706,1.36119,2.54413,0.68706,1.74797,2.09232,0.68706,1.43755,2.64464,0.68706,1.81702,0,0,0
11,Marquinhos,ARS,MID,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Martinelli,ARS,MID,7.7,4.28294,0.9411,4.03068,4.33221,0.9411,4.07705,4.42101,0.9411,4.16062,4.79182,0.9411,4.50958,4.65055,0.9411,4.37664,4.64787,0.9411,4.37411,4.55083,0.9411,4.28279,3.98295,0.9411,3.74836,4.51624,0.9411,4.25024,4.38668,0.9411,4.12831,4.43727,0.9411,4.17592,4.43594,0.9411,4.17467,4.38767,0.9411,4.12924,4.91972,0.9411,4.62995,4.45086,0.9411,4.18871,4.79406,0.9411,4.51169,0,0,0
13,Nketiah,ARS,FWD,5.2,2.55956,0.9156,2.34352,2.7118,0.9156,2.48292,2.62828,0.9156,2.40645,2.97009,0.9156,2.71941,2.82874,0.9156,2.58998,2.68213,0.9156,2.45575,2.64989,0.9156,2.42623,2.5064,0.9156,2.29485,3.2653,0.9156,2.9897,2.71889,0.9156,2.48941,2.73633,0.9156,2.50538,2.78516,0.9156,2.55008,2.84936,0.9156,2.60887,2.68907,0.9156,2.46211,2.62379,0.9156,2.40233,2.83752,0.9156,2.59802,0,0,0
14,Ødegaard,ARS,MID,8.5,5.32708,0.92371,4.92069,5.34403,0.92371,4.93634,5.45931,0.92371,5.04283,5.92314,0.92371,5.47127,5.69215,0.92371,5.2579,5.6887,0.92371,5.25471,5.56383,0.92371,5.13938,4.83312,0.92371,4.46441,5.51933,0.92371,5.09827,5.35262,0.92371,4.94427,5.41771,0.92371,5.0044,5.416,0.92371,5.00282,5.35389,0.92371,4.94545,6.03849,0.92371,5.57782,5.4352,0.92371,5.02056,5.8768,0.92371,5.42847,0,0,0
15,Thomas,ARS,MID,4.8,2.19646,0.18359,0.40325,2.18668,0.37903,0.82882,2.20723,0.5034,1.11112,2.35484,0.56262,1.32488,2.28387,0.59223,1.35259,2.28272,0.59223,1.35191,2.24127,0.59223,1.32736,1.99869,0.59223,1.18369,2.2265,0.59223,1.31861,2.17115,0.59223,1.28583,2.19276,0.59223,1.29863,2.19219,0.59223,1.29829,2.17157,0.59223,1.28608,2.39885,0.59223,1.42068,2.19857,0.59223,1.30207,2.34517,0.59223,1.38889,0,0,0
16,Pepe,ARS,MID,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Ramsdale,ARS,GK,4.5,3.34887,0.06038,0.20221,3.26737,0.06038,0.19729,3.57361,0.06038,0.21578,3.34044,0.06038,0.2017,3.51045,0.06038,0.21197,3.37608,0.06038,0.20385,3.59107,0.06038,0.21683,3.04539,0.06038,0.18389,3.48886,0.06038,0.21066,3.60023,0.06038,0.21739,3.49323,0.06038,0.21093,3.63131,0.06038,0.21926,3.49196,0.06038,0.21085,3.52706,0.06038,0.21297,3.64643,0.06038,0.22018,3.6808,0.06038,0.22225,0,0,0
18,Rúnarsson,ARS,GK,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Saka,ARS,MID,9.1,5.7912,0.94124,5.45089,5.74168,0.94124,5.40428,5.80063,0.94124,5.45977,6.30493,0.94124,5.93443,6.05613,0.94124,5.70025,6.0523,0.94124,5.69665,5.91393,0.94124,5.56641,5.10415,0.94124,4.80421,5.86461,0.94124,5.51999,5.67986,0.94124,5.34609,5.752,0.94124,5.41399,5.7501,0.94124,5.4122,5.68126,0.94124,5.34741,6.43994,0.94124,6.06151,5.77138,0.94124,5.43224,6.26076,0.94124,5.89286,0,0,0
20,Saliba,ARS,DEF,5.6,3.19974,0.94114,3.01141,3.38571,0.94114,3.18643,4.28579,0.94114,4.03353,3.89923,0.94114,3.66972,3.70033,0.94114,3.48253,4.07874,0.94114,3.83867,3.44165,0.94114,3.23908,2.79346,0.94114,2.62903,4.56098,0.94114,4.29252,3.33394,0.94114,3.13771,3.77677,0.94114,3.55447,4.07558,0.94114,3.8357,3.21698,0.94114,3.02763,4.1593,0.94114,3.91449,3.40303,0.94114,3.20272,4.32754,0.94114,4.07282,0,0,0
21,Sambi,LUT,MID,4.9,2.25375,0.91761,2.06807,2.46411,0.91761,2.26109,2.46226,0.91761,2.2594,0,0,0,2.33877,0.91761,2.14608,2.28965,0.91761,2.10101,2.49199,0.91761,2.28668,2.31048,0.91761,2.12013,2.21372,0.91761,2.03133,2.52796,0.91761,2.31968,2.14505,0.91761,1.96833,2.41684,0.91761,2.21772,2.33021,0.91761,2.13823,2.47659,0.91761,2.27255,2.32494,0.91761,2.13339,2.52889,0.91761,2.32054,4.57595,0.91761,4.19894
22,"Smith Rowe",ARS,MID,5.3,2.32424,0.71203,1.65493,2.36368,0.71203,1.68302,2.40905,0.71203,1.71533,2.59827,0.71203,1.85005,2.50807,0.71203,1.78583,2.50677,0.71203,1.7849,2.45984,0.71203,1.75149,2.18522,0.71203,1.55595,2.44311,0.71203,1.73958,2.38046,0.71203,1.69497,2.40492,0.71203,1.71239,2.40428,0.71203,1.71193,2.38094,0.71203,1.69531,2.63823,0.71203,1.87851,2.4115,0.71203,1.71707,2.57746,0.71203,1.83524,0,0,0
23,Tavares,NFO,DEF,4,1.5487,0.23892,0.37001,1.54556,0.23892,0.36926,1.63598,0.23892,0.39087,1.32426,0.23892,0.31639,1.28995,0.23892,0.30819,1.29773,0.23892,0.31005,1.3784,0.23892,0.32933,1.7334,0.23892,0.41414,1.73173,0.23892,0.41374,1.24485,0.23892,0.29742,1.65581,0.23892,0.3956,1.40322,0.23892,0.33526,1.11029,0.23892,0.26527,1.46338,0.23892,0.34963,1.34643,0.23892,0.32169,1.73496,0.23892,0.41451,0,0,0
24,Tierney,ARS,DEF,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Tomiyasu,ARS,DEF,4.5,1.64979,0.10178,0.16791,1.74761,0.50023,0.87421,2.25474,0.87265,1.9676,2.03663,0.88504,1.8025,1.92224,0.88504,1.70125,2.13171,0.88504,1.88664,1.77905,0.88504,1.57452,1.42024,0.88504,1.25697,2.39865,0.88504,2.1229,1.71942,0.88504,1.52175,1.96455,0.88504,1.7387,2.12996,0.88504,1.88509,1.65468,0.88504,1.46445,2.1763,0.88504,1.92611,1.75767,0.88504,1.5556,2.26943,0.88504,2.00853,0,0,0
26,Trossard,ARS,MID,6.5,3.53107,0.93525,3.30242,3.50355,0.93525,3.27669,3.56824,0.93525,3.33719,3.82211,0.93525,3.57462,3.73798,0.93525,3.49594,3.73587,0.93525,3.49397,3.65955,0.93525,3.42259,3.2129,0.93525,3.00486,3.63235,0.93525,3.39714,3.53044,0.93525,3.30184,3.57023,0.93525,3.33905,3.56919,0.93525,3.33807,3.53122,0.93525,3.30256,3.94968,0.93525,3.69393,3.58092,0.93525,3.34905,3.85085,0.93525,3.6015,0,0,0
