GW,ID,Name,Team,Pos,Price,Prob of Appearing,xP,In Squad,In Lineup,Is Captain,Is Vice Captain,Transferred In,Transferred Out
4,91,Flekken,4,1,4.5,0.95,5.05,1.0,1.0,0.0,0.0,0.0,0.0
4,311,Alexander-Arnold,12,2,7.0,0.94,4.34,1.0,1.0,0.0,0.0,0.0,0.0
4,495,Pedro Porro,18,2,5.5,0.94,3.28,1.0,1.0,0.0,0.0,0.0,0.0
4,255,Robinson,9,2,4.6,0.94,3.12,1.0,1.0,0.0,0.0,0.0,0.0
4,291,Faes,11,2,4.1,0.94,2.43,1.0,1.0,0.0,0.0,1.0,0.0
4,328,M.Salah,12,3,12.7,0.94,5.09,1.0,1.0,0.0,1.0,0.0,0.0
4,230,McNeil,8,3,5.4,0.94,3.78,1.0,1.0,0.0,0.0,1.0,0.0
4,199,Eze,7,3,6.9,0.94,3.38,1.0,1.0,0.0,0.0,0.0,0.0
4,351,Haaland,13,4,15.2,0.93,5.84,1.0,1.0,1.0,0.0,0.0,0.0
4,401,Isak,15,4,8.5,0.94,3.78,1.0,1.0,0.0,0.0,0.0,0.0
4,447,Wood,16,4,6.1,0.94,2.5,1.0,1.0,0.0,0.0,0.0,0.0
4,201,Henderson,7,1,4.5,0.9,3.79,1.0,0.0,0.0,0.0,0.0,0.0
4,461,Harwood-Bellis,17,2,4.0,0.94,2.02,1.0,0.0,0.0,0.0,0.0,0.0
4,54,Rogers,2,3,5.1,0.87,2.74,1.0,0.0,0.0,0.0,0.0,0.0
4,177,Madueke,6,3,6.6,0.84,2.71,1.0,0.0,0.0,0.0,0.0,0.0
4,275,Johnson,10,2,4.0,0.45,2.24,0.0,0.0,0.0,0.0,0.0,1.0
4,19,Smith Rowe,9,3,5.6,0.67,2.44,0.0,0.0,0.0,0.0,0.0,1.0
5,91,Flekken,4,1,4.5,0.95,4.7,1.0,1.0,0.0,0.0,0.0,0.0
5,311,Alexander-Arnold,12,2,7.0,0.94,4.47,1.0,1.0,0.0,0.0,0.0,0.0
5,495,Pedro Porro,18,2,5.5,0.94,3.51,1.0,1.0,0.0,0.0,0.0,0.0
5,255,Robinson,9,2,4.6,0.94,3.13,1.0,1.0,0.0,0.0,0.0,0.0
5,328,M.Salah,12,3,12.7,0.94,5.5,1.0,1.0,1.0,0.0,0.0,0.0
5,230,McNeil,8,3,5.4,0.94,3.81,1.0,1.0,0.0,0.0,0.0,0.0
5,433,Gibbs-White,16,3,6.5,0.94,3.19,1.0,1.0,0.0,0.0,1.0,0.0
5,199,Eze,7,3,6.9,0.94,3.15,1.0,1.0,0.0,0.0,0.0,0.0
5,351,Haaland,13,4,15.2,0.93,5.19,1.0,1.0,0.0,1.0,0.0,0.0
5,401,Isak,15,4,8.5,0.94,3.49,1.0,1.0,0.0,0.0,0.0,0.0
5,110,Wissa,4,4,6.1,0.94,2.89,1.0,1.0,0.0,0.0,1.0,0.0
5,201,Henderson,7,1,4.5,0.9,3.38,1.0,0.0,0.0,0.0,0.0,0.0
5,291,Faes,11,2,4.1,0.94,2.03,1.0,0.0,0.0,0.0,0.0,0.0
5,461,Harwood-Bellis,17,2,4.0,0.94,1.87,1.0,0.0,0.0,0.0,0.0,0.0
5,54,Rogers,2,3,5.1,0.87,2.72,1.0,0.0,0.0,0.0,0.0,0.0
5,177,Madueke,6,3,6.6,0.84,2.76,0.0,0.0,0.0,0.0,0.0,1.0
5,447,Wood,16,4,6.1,0.94,2.74,0.0,0.0,0.0,0.0,0.0,1.0
6,201,Henderson,7,1,4.5,0.9,4.18,1.0,1.0,0.0,0.0,0.0,0.0
6,311,Alexander-Arnold,12,2,7.0,0.94,4.36,1.0,1.0,0.0,0.0,0.0,0.0
6,495,Pedro Porro,18,2,5.5,0.94,3.71,1.0,1.0,0.0,0.0,0.0,0.0
6,255,Robinson,9,2,4.6,0.94,2.99,1.0,1.0,0.0,0.0,0.0,0.0
6,17,Saka,1,3,10.1,0.93,5.91,1.0,1.0,1.0,0.0,1.0,0.0
6,366,B.Fernandes,14,3,8.4,0.94,4.35,1.0,1.0,0.0,0.0,1.0,0.0
6,230,McNeil,8,3,5.4,0.94,4.27,1.0,1.0,0.0,0.0,0.0,0.0
6,433,Gibbs-White,16,3,6.5,0.94,3.69,1.0,1.0,0.0,0.0,0.0,0.0
6,351,Haaland,13,4,15.2,0.93,4.67,1.0,1.0,0.0,1.0,0.0,0.0
6,401,Isak,15,4,8.5,0.94,3.78,1.0,1.0,0.0,0.0,0.0,0.0
6,110,Wissa,4,4,6.1,0.94,3.72,1.0,1.0,0.0,0.0,0.0,0.0
6,91,Flekken,4,1,4.5,0.95,3.74,1.0,0.0,0.0,0.0,0.0,0.0
6,291,Faes,11,2,4.1,0.94,2.53,1.0,0.0,0.0,0.0,0.0,0.0
6,461,Harwood-Bellis,17,2,4.0,0.94,2.18,1.0,0.0,0.0,0.0,0.0,0.0
6,54,Rogers,2,3,5.1,0.87,2.44,1.0,0.0,0.0,0.0,0.0,0.0
6,328,M.Salah,12,3,12.7,0.94,4.95,0.0,0.0,0.0,0.0,0.0,1.0
6,199,Eze,7,3,6.9,0.94,2.86,0.0,0.0,0.0,0.0,0.0,1.0
7,14,Ramsdale,17,1,4.4,0.94,4.77,1.0,1.0,0.0,0.0,1.0,0.0
7,311,Alexander-Arnold,12,2,7.0,0.94,4.25,1.0,1.0,0.0,0.0,0.0,0.0
7,495,Pedro Porro,18,2,5.5,0.94,3.58,1.0,1.0,0.0,0.0,0.0,0.0
7,255,Robinson,9,2,4.6,0.94,3.3,1.0,1.0,0.0,0.0,0.0,0.0
7,17,Saka,1,3,10.1,0.93,5.59,1.0,1.0,0.0,1.0,0.0,0.0
7,345,De Bruyne,13,3,9.6,0.93,4.89,1.0,1.0,0.0,0.0,1.0,0.0
7,230,McNeil,8,3,5.4,0.94,4.42,1.0,1.0,0.0,0.0,0.0,0.0
7,433,Gibbs-White,16,3,6.5,0.94,3.26,1.0,1.0,0.0,0.0,0.0,0.0
7,351,Haaland,13,4,15.2,0.93,6.34,1.0,1.0,1.0,0.0,0.0,0.0
7,110,Wissa,4,4,6.1,0.94,3.89,1.0,1.0,0.0,0.0,0.0,0.0
7,401,Isak,15,4,8.5,0.94,3.69,1.0,1.0,0.0,0.0,0.0,0.0
7,91,Flekken,4,1,4.5,0.95,3.55,1.0,0.0,0.0,0.0,0.0,0.0
7,461,Harwood-Bellis,17,2,4.0,0.94,2.45,1.0,0.0,0.0,0.0,0.0,0.0
7,291,Faes,11,2,4.1,0.94,2.12,1.0,0.0,0.0,0.0,0.0,0.0
7,54,Rogers,2,3,5.1,0.87,2.65,1.0,0.0,0.0,0.0,0.0,0.0
